Areaname,STCOU,AGE050190D,AGE050200D,AGE050210D,EDU685190D,EDU685200D,EDU685209D,ELE025192D,ELE025196D,ELE025200D,ELE025204D,ELE025208D,PVY020189D,PVY020199D,PVY020209D
UNITED STATES,00000,32.9,35.3,37.2,20.3,24.4,27.5,43,49.2,48.4,48.3,52.9,31742864,33899812,39537240
ALABAMA,01000,33,35.8,37.9,15.7,19,21.5,40.9,43.2,41.6,36.8,38.7,723614,698097,757833
"Autauga, AL",01001,31.7,35.1,37,14.5,18,21.8,30.9,32.5,28.7,23.7,25.8,5324,4738,5103
"Baldwin, AL",01003,35.5,39,41.1,16.8,23.1,26.6,26.2,27.1,24.8,22.5,23.8,13947,14018,20265
"Barbour, AL",01005,32.8,35.8,39,11.8,10.9,12.4,46.4,53.5,53.4,44.8,49,6244,7032,6673
"Bibb, AL",01007,31.9,34.7,37.8,4.7,7.1,11.1,43.2,44,38.2,27.5,26.6,3454,4091,2442
"Blount, AL",01009,34.5,36.4,39,7,9.6,12.3,32.9,33,27.7,18.3,14.5,5938,5930,6156
"Bullock, AL",01011,31.7,35,38.5,10,7.7,9,67.7,70.2,69.2,68.1,74.1,3776,3405,3423
"Butler, AL",01013,33.5,37.7,40.1,8,10.4,12.3,47.4,49.3,46.2,40.6,43.1,6815,5205,4360
"Calhoun, AL",01015,32.7,37.2,38.2,14.2,15.2,17.5,38.4,42.6,40.6,33.3,33.2,17385,17695,19256
"Chambers, AL",01017,34.8,37.7,41.5,8.9,9.5,10.3,45.4,49.7,47.5,41,45.5,6849,6134,5507
"Cherokee, AL",01019,36.3,40,43.9,6.7,9.7,10,53.6,52.2,44.7,33.6,23.7,3424,3672,3517
"Chilton, AL",01021,34,35.9,37.6,7.5,9.9,11.3,34.2,37.5,31.8,22.6,20.7,5495,6152,7208
"Choctaw, AL",01023,32.9,37.9,43.4,8.5,9.6,10.8,52.1,57.1,50.3,45.7,46.1,4809,3858,3167
"Clarke, AL",01025,31.7,35.5,40.2,10.8,12.1,13.5,42.9,47.7,43.5,40.6,44,6960,6207,6799
"Clay, AL",01027,35.7,38.7,42,7.3,7.8,9,36,41.4,34.8,28.8,25.8,2272,2392,2204
"Cleburne, AL",01029,34.1,37.5,40.6,6.5,9.2,10.2,40.9,41,32.7,24,18,1936,1953,2340
"Coffee, AL",01031,34.1,37.2,37.6,16.5,19.3,21.5,37.2,36.5,33.8,25.4,25.2,6180,6285,7346
"Colbert, AL",01033,35.7,38.7,41.8,11.5,14.1,16.9,54.4,50.3,49,44.3,39.1,7477,7592,7557
"Conecuh, AL",01035,34.5,38,43,6.4,9.2,9.2,50,53.2,50.1,45.2,49.4,4145,3719,3778
"Coosa, AL",01037,34,37.7,44.2,6.3,8,9.2,48.6,51.3,46.1,41.1,40.9,1984,1760,2090
"Covington, AL",01039,36.2,39.8,42.4,9.1,12.2,13.2,35.8,38.1,32.6,23.4,20.5,7971,6838,6567
"Crenshaw, AL",01041,35.9,38.8,40.7,8.4,11.2,11.2,45.4,48.8,40.3,30.9,30.8,3279,2964,2969
"Cullman, AL",01043,34.8,37.5,39.9,7.8,11.9,13.3,36,35.9,33,22.9,16.6,10214,9935,13112
"Dale, AL",01045,29.1,34.3,36.1,13.5,14,16.6,32.3,33,31,24.6,27.3,6971,7140,6494
"Dallas, AL",01047,31.1,35.3,37.7,12.2,13.9,13.9,56.4,59.5,59.4,60.2,67.1,17099,14243,13514
