                    ,   coef   , std err ,    t    ,P>|t| , [95.0% Conf. Int.]
prob_exmpt          ,   40.1519,    6.525,    6.153, 0.000,   27.331    52.972
s_time              ,    0.0234,    0.033,    0.711, 0.478,   -0.041     0.088
sales_change        ,   -3.2774,    1.086,   -3.017, 0.003,   -5.412    -1.143
prop_change         ,   -1.4229,    0.494,   -2.879, 0.004,   -2.394    -0.452
prop_levy_change    ,-3.742e-06,  1.9e-06,   -1.968, 0.050,-7.48e-06 -5.65e-09
debt_change         , 2.243e-08, 7.25e-08,    0.309, 0.757, -1.2e-07  1.65e-07
rev_time            ,    0.0419,    0.018,    2.316, 0.021,    0.006     0.077
ss_open             ,   28.0471,    5.658,    4.957, 0.000,   16.931    39.163
ss_no waiver        ,   13.0115,    2.204,    5.905, 0.000,    8.682    17.341
ss_sales            ,   29.5567,    6.842,    4.320, 0.000,   16.114    43.000
ss_property         ,   24.3161,    6.530,    3.724, 0.000,   11.486    37.146
ss_nontax           ,   25.9235,    7.054,    3.675, 0.000,   12.063    39.784
ss_value            ,   28.3316,    6.079,    4.661, 0.000,   16.388    40.275
ss_transfer         ,   30.7400,    6.474,    4.749, 0.000,   18.021    43.459
ss_nonproperty      ,    0.7076,    7.536,    0.094, 0.925,  -14.099    15.514
ss_tourism          ,   32.2701,    9.123,    3.537, 0.000,   14.345    50.195
ss_unknown          ,   18.7271,   15.095,    1.241, 0.215,  -10.931    48.386
ss_library          ,   30.3219,   15.124,    2.005, 0.046,    0.607    60.037
ss_gaming           ,   36.9737,   10.796,    3.425, 0.001,   15.762    58.185
ss_development      ,-8.961e-10, 7.56e-10,   -1.186, 0.236,-2.38e-09  5.89e-10
infrastructure      ,   -2.2754,    1.880,   -1.210, 0.227,   -5.970     1.419
open                ,   -4.0416,    3.171,   -1.275, 0.203,  -10.272     2.189
public safety       ,   -3.6655,    2.106,   -1.740, 0.082,   -7.804     0.472
economic development,   -4.6457,    7.252,   -0.641, 0.522,  -18.895     9.603
unspecified         ,   -0.8924,    3.029,   -0.295, 0.768,   -6.844     5.059
environment         ,    2.0851,    2.351,    0.887, 0.376,   -2.535     6.705
hss                 ,   -3.6512,    2.286,   -1.597, 0.111,   -8.143     0.841
education           ,   -2.6521,    3.047,   -0.870, 0.385,   -8.639     3.335
tourism             ,    3.7557,    4.666,    0.805, 0.421,   -5.411    12.923
no waiver           ,   13.0115,    2.204,    5.905, 0.000,    8.682    17.341
administrative      ,  -22.7156,    4.750,   -4.782, 0.000,  -32.049   -13.382
limited             ,   -3.1487,    7.155,   -0.440, 0.660,  -17.207    10.909
agriculture         ,   -7.5780,    8.106,   -0.935, 0.350,  -23.504     8.348
unknown             ,  -27.2006,   14.591,   -1.864, 0.063,  -55.869     1.468
choice              ,   -3.1487,    7.155,   -0.440, 0.660,  -17.207    10.909
intensity_stock     ,   -4.1753,    2.052,   -2.035, 0.042,   -8.206    -0.144
prop_ratio          ,    4.4093,    1.512,    2.917, 0.004,    1.439     7.380
