"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",1.06040173640981,1.19160953180211,0.889890277065946,0.373524805207512
"prob_exmpt",2.56696918604888,0.840974429900968,3.05237483421602,0.00227038394789141
"s_time",0.00103498039737612,0.00325627161242975,0.317842158321628,0.750604669905901
"sales_change",-0.269074916498809,0.107485041627457,-2.50337081722889,0.0123016579929263
"prop_change",-0.10032963071018,0.0490022497332337,-2.04744947949064,0.040613972433425
"prop_levy_change",-4.71895245302189e-07,3.22842185492414e-07,-1.46169015855977,0.143826135322745
"debt_change",-2.63051742923291e-09,7.02018564872265e-09,-0.374707673109976,0.707877885054482
"rev_time",0.00266105880247169,0.00174733386387081,1.52292521623585,0.127777416245194
"ss_open",-1.72680253650432,1.07759399269409,-1.60246117574129,0.109053666228455
"ss_sales",-0.739309636725906,1.05337290461996,-0.701849870528649,0.482772794061719
"ss_property",-1.17483360038821,1.05062423470339,-1.1182243485178,0.263471187687951
"ss_nontax",-2.11706183129713,1.15083587446194,-1.83958623316894,0.0658290070550406
"ss_value",-1.50698416156162,1.04770529997305,-1.43836645820192,0.150330104392442
"ss_transfer",-1.6206980809087,1.06264243237135,-1.52515844609369,0.127219582285977
"ss_nonproperty",-1.48423696667904,0.749673703079676,-1.97984397822914,0.0477210629777658
"ss_tourism",3.72084885295457,172.649881746368,0.0215514126932372,0.982805791572264
"ss_unknown",-7.48874611628141,376.75512284555,-0.0198769589640097,0.984141525597133
"ss_library",2.83434197543153,376.75512341652,0.00752303498816136,0.99399754315185
"ss_gaming",4.14803100043927,214.961669407103,0.0192966076783837,0.984604490106429
"infrastructure",-0.496809946457119,0.182486546135064,-2.72244698022513,0.0064800430547066
"open",-1.04690618314612,0.352597162557383,-2.96912821292414,0.00298645960104421
"public.safety",-0.371949540803047,0.204509336023872,-1.81874112954741,0.068950933660241
"economic.development",-1.41271774107747,0.824706981837384,-1.71299355066699,0.0867137260908913
"unspecified",-0.448461975050839,0.294352869847701,-1.52355224286712,0.127620600805701
"environment",0.257167346424808,0.234608513738696,1.09615521758617,0.273010853594075
"hss",-0.258719093243133,0.219577530642031,-1.17825850617162,0.238693564510121
"education",-0.297510839824371,0.289679714887427,-1.02703373600042,0.304404578810744
"tourism",0.749099145659778,0.502835414994724,1.48975017137096,0.136289937315697
"no.waiver",-2.52673760584044,1.0921981304464,-2.31344252970633,0.0206983210649038
"administrative",-1.61295677935588,0.550969964346379,-2.92748585899659,0.00341714599814111
"limited",-5.00583135283672,376.753703828688,-0.0132867475540808,0.989399021176232
"agriculture",-0.875289316319881,0.760858223612355,-1.1503973922556,0.249980233716055
"unknown",-5.10551023061454,376.75380365787,-0.0135513170166979,0.989187944292573
"intensity_stock",-0.206679044532209,0.199734293441596,-1.03476994846979,0.300776360434025
"prop_ratio",0.27301546007948,0.14888988010513,1.83367371836626,0.0667024421363203
"cty_rev_prop",1.11492458314454,0.64388389678568,1.73156152640303,0.0833516613389225
