Areaname,STCOU,TOT_REV72,TOT_REV77,TOT_REV82,TOT_REV87,TOT_REV92,TOT_REV97,TOT_REV02,TOT_EXP72,TOT_EXP77,TOT_EXP82,TOT_EXP87,TOT_EXP92,TOT_EXP97,TOT_EXP02
UNITED STATES,00000,105243000,179044944,281044731,411584075,584302842,747030290,995855965,106499000,170938144,264355426,392014582,566959282,723603907,986370919
ALABAMA,01000,1034034,1907892,3188593,4453189,6423178,8918376,12485697,1060272,1905744,3153193,4307264,6668391,8852982,12540038
"Autauga, AL",01001,5916,10472,18698,29504,36073,58038,87739,6463,10578,18426,24741,35614,72552,87392
"Baldwin, AL",01003,12209,24643,52701,90613,152505,282324,396390,16505,24802,57969,100654,168826,309354,426912
"Barbour, AL",01005,6341,11727,19169,21415,37827,54990,65252,6568,11342,17768,21178,37045,52610,61844
"Bibb, AL",01007,3545,6798,11594,14785,23126,39019,44798,3801,6863,10827,13542,20541,37787,41234
"Blount, AL",01009,8130,15318,21150,29421,35859,67694,73794,6340,14535,20663,26208,33126,66528,78266
"Bullock, AL",01011,3848,5159,8578,8764,19609,17960,22963,3679,5299,8254,8646,19692,15482,22521
"Butler, AL",01013,5771,7787,14346,21242,26346,37840,47440,4993,7326,14108,18739,26158,38205,48578
"Calhoun, AL",01015,31300,62124,100102,139512,182360,301569,361935,34485,58604,97427,136607,187550,293799,379732
"Chambers, AL",01017,6405,12255,22953,27877,35250,46643,55640,7042,12802,22500,32107,42251,58522,63186
"Cherokee, AL",01019,4742,8140,14536,15548,18946,30695,38934,4779,8561,13919,14115,17523,30938,37323
"Chilton, AL",01021,7138,10859,15127,21201,30645,45689,63895,6115,10311,14555,20905,31621,53205,67194
"Choctaw, AL",01023,4618,9829,10708,15978,16843,25395,27865,4433,9634,9530,14893,16547,26076,27446
"Clarke, AL",01025,6095,12361,24678,31659,34988,50493,59459,5956,10984,23830,30461,30162,48401,59291
"Clay, AL",01027,3552,6247,10168,17406,22088,46219,36972,3474,6577,11503,16818,21080,36598,34123
"Cleburne, AL",01029,3207,5859,9163,9407,14725,22673,26292,3011,5326,8455,9780,11700,21689,26890
"Coffee, AL",01031,9566,15866,25047,34342,67424,69326,79060,9790,16206,23673,37398,66353,66338,77033
"Colbert, AL",01033,16539,28833,49842,62959,96510,146022,173873,15136,28423,57000,65344,103048,152037,180090
"Conecuh, AL",01035,3441,5682,9064,11774,12165,17181,26389,3553,5593,9357,13010,12629,17116,26369
"Coosa, AL",01037,2347,3976,5599,7407,9899,13485,16297,2277,4132,5710,6888,11088,12890,16894
"Covington, AL",01039,7908,13778,22882,29586,40190,61488,72108,8257,14098,20669,34692,39518,63657,78035
"Crenshaw, AL",01041,4613,4843,10690,13884,12450,17872,24704,4442,4362,10144,13938,12809,19687,25928
"Cullman, AL",01043,14637,28199,51151,70565,91628,144301,182620,15066,35228,50828,65945,84785,135142,179464
"Dale, AL",01045,9488,15755,28553,39929,63468,75593,99416,10093,15190,26822,37834,56052,78614,99463
"Dallas, AL",01047,15782,24449,40232,48092,61495,83153,102567,15415,24979,42388,43372,61219,75164,92469
"DeKalb, AL",01049,9424,18692,30827,40843,54871,84854,112890,11493,16292,29482,38380,52215,84834,115868
"Elmore, AL",01051,7164,14377,24836,31673,55563,86957,114406,7052,14584,25231,31693,53052,88453,116124
"Escambia, AL",01053,9021,17222,26131,36837,44061,79328,117316,8794,17656,26298,39043,47793,74009,88547
"Etowah, AL",01055,22804,40091,69727,92474,129374,184125,201181,23235,39937,63966,93626,121762,176259,202759
"Fayette, AL",01057,4761,8704,13523,16005,31511,29037,28933,4569,7935,12448,14711,32551,31414,30375
"Franklin, AL",01059,5079,9420,18497,22865,30796,54680,57454,4906,10631,16988,22616,33013,45309,57315
"Geneva, AL",01061,5740,10169,15472,19987,30912,34658,70401,6010,9600,15444,19583,30836,38071,71726
"Greene, AL",01063,4385,6992,14884,17012,14725,21014,20180,4125,6303,13867,14369,15347,19674,19794
"Hale, AL",01065,4504,7546,12013,15535,17155,27191,33411,4753,7591,9989,14507,17591,28263,35262
"Henry, AL",01067,3596,6756,12061,12062,16585,31316,35143,3719,7092,12089,11590,14412,32753,34054
"Houston, AL",01069,18312,41959,88787,128580,204483,312748,385884,19186,46666,93051,131541,227669,315557,427573
"Jackson, AL",01071,17348,28898,54018,62552,71703,126148,96622,15415,22847,40368,63253,71780,122306,96824
"Jefferson, AL",01073,203901,398738,626627,890057,1213681,1671453,2126716,215315,399781,606527,829127,1218817,1626865,2646074
"Lamar, AL",01075,3280,6925,12481,16332,21704,30319,31569,3143,7001,11944,14315,15784,29003,35712
"Lauderdale, AL",01077,24089,52275,71435,103471,158074,261017,370972,23080,51611,73078,96284,201499,241711,357205
"Lawrence, AL",01079,4732,12005,29035,40467,39583,55853,65832,4727,11965,26506,40090,41150,56826,70559
"Lee, AL",01081,19982,34696,57870,132630,172596,272445,395852,21838,37010,66506,119703,277941,269941,378422
"Limestone, AL",01083,11027,19083,31619,44748,72456,106191,133078,11832,19565,31160,43079,66886,115986,143848
"Lowndes, AL",01085,3010,5004,9046,12657,14489,22075,29186,3196,5535,9329,12374,15005,20057,28630
"Macon, AL",01087,6101,10574,14932,20088,24326,40542,37048,6021,11382,14472,25681,31214,37088,37428
"Madison, AL",01089,71078,118118,221854,319987,522912,501626,1785050,67737,116595,201265,324401,562540,573742,1067358
"Marengo, AL",01091,7703,13553,23496,28649,45400,60970,75998,7967,13350,19948,27041,46956,71793,78435
"Marion, AL",01093,7175,14592,20244,22588,27507,45933,55348,7373,13150,17729,21804,27113,42799,59423
"Marshall, AL",01095,15300,29229,56473,76775,106774,132735,261173,16438,29348,56945,76688,108888,124593,257636
"Mobile, AL",01097,99348,164917,250576,376778,545246,758479,984641,96055,173664,254098,336780,610497,719355,1032087
"Monroe, AL",01099,6339,13108,20894,24369,33830,41645,65705,6086,13241,20831,24460,34726,46110,63189
"Montgomery, AL",01101,51625,90399,144559,190600,267187,379748,460384,65147,83222,135218,186365,273480,365476,479489
"Morgan, AL",01103,28671,60415,86224,127005,190973,286226,360624,32736,56118,86161,121119,195997,297324,371271
"Perry, AL",01105,4492,7251,11957,11826,19635,23121,30987,4199,7439,12182,11768,18142,22666,28678
"Pickens, AL",01107,6033,8938,17442,21411,26405,41193,40738,5889,8943,17767,21042,26185,40975,39624
"Pike, AL",01109,6047,10067,23053,32433,48292,43759,51423,6049,10968,23184,31145,50834,51817,57180
"Randolph, AL",01111,5319,8901,14348,19975,28922,32531,39727,5175,8571,14480,18829,29065,33230,36524
