year,cty,all_gov_exp,all_gov_rev
1972,Adams,84640.0,86701.0
1972,Alamosa,4238.0,4410.0
1972,Arapahoe,74327.0,76521.0
1972,Archuleta,1248.0,1392.0
1972,Baca,4126.0,4358.0
1972,Bent,3269.0,3467.0
1972,Boulder,66226.0,59676.0
1972,Broomfield,0.0,0.0
1972,Chaffee,4882.0,4529.0
1972,Cheyenne,1394.0,1522.0
1972,Clear Creek,2379.0,2578.0
1972,Conejos,4950.0,5082.0
1972,Costilla,1896.0,2117.0
1972,Crowley,1338.0,1477.0
1972,Custer,710.0,676.0
1972,Delta,7061.0,7354.0
1972,Denver,334823.0,355381.0
1972,Dolores,1139.0,1136.0
1972,Douglas,6195.0,4766.0
1972,Eagle,4964.0,5090.0
1972,El Paso,110503.0,102805.0
1972,Elbert,2142.0,2122.0
1972,Fremont,7972.0,8287.0
1972,Garfield,6472.0,6463.0
1972,Gilpin,553.0,576.0
1972,Grand,2721.0,3031.0
1972,Gunnison,3478.0,3740.0
1972,Hinsdale,237.0,280.0
1972,Huerfano,3732.0,3747.0
1972,Jackson,1445.0,1120.0
1972,Jefferson,96819.0,101229.0
1972,Kiowa,1742.0,1980.0
1972,Kit Carson,4402.0,4409.0
1972,La Plata,9448.0,10297.0
1972,Lake,5111.0,5357.0
1972,Larimer,45588.0,45479.0
1972,Las Animas,8501.0,8985.0
1972,Lincoln,3209.0,3132.0
1972,Logan,11421.0,11459.0
1972,Mesa,34137.0,33474.0
1972,Mineral,473.0,470.0
1972,Moffat,4505.0,4440.0
1972,Montezuma,7353.0,7377.0
1972,Montrose,9061.0,9276.0
1972,Morgan,9672.0,9932.0
1972,Otero,10336.0,10609.0
1972,Ouray,1014.0,962.0
1972,Park,2429.0,2098.0
1972,Phillips,2697.0,2651.0
1972,Pitkin,9279.0,6811.0
1972,Prowers,7534.0,7407.0
1972,Pueblo,60541.0,57440.0
1972,Rio Blanco,5107.0,5334.0
1972,Rio Grande,4583.0,4875.0
1972,Routt,4828.0,4261.0
1972,Saguache,2440.0,2643.0
1972,San Juan,529.0,609.0
1972,San Miguel,1321.0,1472.0
1972,Sedgwick,2120.0,2181.0
1972,Summit,2225.0,2226.0
1972,Teller,2329.0,2453.0
1972,Washington,3116.0,3086.0
1972,Weld,45514.0,47668.0
1972,Yuma,4540.0,4787.0
1973,Adams,100968.4,102983.8
1973,Alamosa,4798.6,5092.2
1973,Arapahoe,106095.2,102075.2
1973,Archuleta,1668.6,1612.6
1973,Baca,4506.6,4660.2
1973,Bent,3599.0,3773.0
1973,Boulder,80438.6,75295.4
1973,Broomfield,0.0,0.0
1973,Chaffee,5596.6,5402.0
1973,Cheyenne,1576.4,1715.6
1973,Clear Creek,2938.8,3149.6
1973,Conejos,5330.0,5532.8
1973,Costilla,2168.8,2469.2
1973,Crowley,1465.0,1638.8
1973,Custer,784.6,771.6
1973,Delta,8246.2,8585.8
1973,Denver,375631.2,406877.2
1973,Dolores,1272.4,1223.0
1973,Douglas,7599.6,6609.6
1973,Eagle,7282.2,6973.2
1973,El Paso,126744.2,121151.6
1973,Elbert,2581.2,2531.0
1973,Fremont,9177.2,9673.8
1973,Garfield,8438.4,8004.6
1973,Gilpin,648.6,756.0
1973,Grand,3945.4,4008.0
1973,Gunnison,4022.2,4186.8
1973,Hinsdale,268.6,329.6
1973,Huerfano,3991.6,4040.0
1973,Jackson,1534.8,1281.6
1973,Jefferson,120468.6,128196.8
1973,Kiowa,1814.0,2012.4
1973,Kit Carson,5203.8,5153.2
1973,La Plata,11420.0,12089.4
1973,Lake,6844.2,6379.4
1973,Larimer,56296.8,58038.6
1973,Las Animas,9179.4,9549.0
1973,Lincoln,3426.6,3457.8
1973,Logan,12580.8,12745.8
1973,Mesa,35327.6,35235.8
1973,Mineral,525.2,561.6
1973,Moffat,5936.6,5609.8
1973,Montezuma,9213.8,8899.6
1973,Montrose,11263.8,11194.2
1973,Morgan,10837.2,11186.4
1973,Otero,11619.0,11914.2
1973,Ouray,1131.0,1133.2
1973,Park,2796.8,2631.0
1973,Phillips,3337.6,3083.8
1973,Pitkin,10832.2,8460.8
1973,Prowers,8412.6,8461.2
1973,Pueblo,67921.0,67112.8
1973,Rio Blanco,6594.6,6712.6
1973,Rio Grande,5209.2,5528.6
1973,Routt,5808.8,5635.0
1973,Saguache,2703.0,2980.6
1973,San Juan,597.0,666.6
1973,San Miguel,1579.2,1747.8
1973,Sedgwick,2506.6,2458.2
1973,Summit,3638.6,3969.2
1973,Teller,2883.2,3065.2
1973,Washington,3533.8,3486.2
1973,Weld,55104.6,57250.8
1973,Yuma,5305.0,5358.6
1974,Adams,117296.8,119266.6
1974,Alamosa,5359.2,5774.4
1974,Arapahoe,137863.4,127629.4
1974,Archuleta,2089.2,1833.2
1974,Baca,4887.2,4962.4
1974,Bent,3929.0,4079.0
1974,Boulder,94651.2,90914.8
1974,Broomfield,0.0,0.0
1974,Chaffee,6311.2,6275.0
1974,Cheyenne,1758.8,1909.2
1974,Clear Creek,3498.6,3721.2
1974,Conejos,5710.0,5983.6
1974,Costilla,2441.6,2821.4
1974,Crowley,1592.0,1800.6
1974,Custer,859.2,867.2
1974,Delta,9431.4,9817.6
1974,Denver,416439.4,458373.4
1974,Dolores,1405.8,1310.0
1974,Douglas,9004.2,8453.2
1974,Eagle,9600.4,8856.4
1974,El Paso,142985.4,139498.2
1974,Elbert,3020.4,2940.0
1974,Fremont,10382.4,11060.6
1974,Garfield,10404.8,9546.2
1974,Gilpin,744.2,936.0
1974,Grand,5169.8,4985.0
1974,Gunnison,4566.4,4633.6
1974,Hinsdale,300.2,379.2
1974,Huerfano,4251.2,4333.0
1974,Jackson,1624.6,1443.2
1974,Jefferson,144118.2,155164.6
1974,Kiowa,1886.0,2044.8
1974,Kit Carson,6005.6,5897.4
1974,La Plata,13392.0,13881.8
1974,Lake,8577.4,7401.8
1974,Larimer,67005.6,70598.2
1974,Las Animas,9857.8,10113.0
1974,Lincoln,3644.2,3783.6
1974,Logan,13740.6,14032.6
1974,Mesa,36518.2,36997.6
1974,Mineral,577.4,653.2
1974,Moffat,7368.2,6779.6
1974,Montezuma,11074.6,10422.2
1974,Montrose,13466.6,13112.4
1974,Morgan,12002.4,12440.8
1974,Otero,12902.0,13219.4
1974,Ouray,1248.0,1304.4
1974,Park,3164.6,3164.0
1974,Phillips,3978.2,3516.6
1974,Pitkin,12385.4,10110.6
1974,Prowers,9291.2,9515.4
1974,Pueblo,75301.0,76785.6
1974,Rio Blanco,8082.2,8091.2
1974,Rio Grande,5835.4,6182.2
1974,Routt,6789.6,7009.0
1974,Saguache,2966.0,3318.2
1974,San Juan,665.0,724.2
1974,San Miguel,1837.4,2023.6
1974,Sedgwick,2893.2,2735.4
1974,Summit,5052.2,5712.4
1974,Teller,3437.4,3677.4
1974,Washington,3951.6,3886.4
1974,Weld,64695.2,66833.6
1974,Yuma,6070.0,5930.2
1975,Adams,133625.2,135549.4
1975,Alamosa,5919.8,6456.6
1975,Arapahoe,169631.6,153183.6
1975,Archuleta,2509.8,2053.8
1975,Baca,5267.8,5264.6
1975,Bent,4259.0,4385.0
1975,Boulder,108863.8,106534.2
1975,Broomfield,0.0,0.0
1975,Chaffee,7025.8,7148.0
1975,Cheyenne,1941.2,2102.8
1975,Clear Creek,4058.3999999999996,4292.8
1975,Conejos,6090.0,6434.4
1975,Costilla,2714.4,3173.6
1975,Crowley,1719.0,1962.4
1975,Custer,933.8,962.8
1975,Delta,10616.6,11049.4
1975,Denver,457247.6,509869.6
1975,Dolores,1539.2,1397.0
1975,Douglas,10408.8,10296.8
1975,Eagle,11918.599999999999,10739.6
1975,El Paso,159226.6,157844.8
1975,Elbert,3459.6,3349.0
1975,Fremont,11587.6,12447.4
1975,Garfield,12371.2,11087.8
1975,Gilpin,839.8,1116.0
1975,Grand,6394.200000000001,5962.0
1975,Gunnison,5110.6,5080.4
1975,Hinsdale,331.8,428.8
1975,Huerfano,4510.8,4626.0
1975,Jackson,1714.4,1604.8
1975,Jefferson,167767.8,182132.4
1975,Kiowa,1958.0,2077.2
1975,Kit Carson,6807.4,6641.6
1975,La Plata,15364.0,15674.2
1975,Lake,10310.6,8424.2
1975,Larimer,77714.4,83157.8
1975,Las Animas,10536.2,10677.0
1975,Lincoln,3861.8,4109.4
1975,Logan,14900.4,15319.4
1975,Mesa,37708.8,38759.4
1975,Mineral,629.6,744.8
1975,Moffat,8799.8,7949.4
1975,Montezuma,12935.4,11944.8
1975,Montrose,15669.400000000001,15030.6
1975,Morgan,13167.6,13695.2
1975,Otero,14185.0,14524.6
1975,Ouray,1365.0,1475.6
1975,Park,3532.4,3697.0
1975,Phillips,4618.8,3949.4
1975,Pitkin,13938.6,11760.4
1975,Prowers,10169.8,10569.6
1975,Pueblo,82681.0,86458.4
1975,Rio Blanco,9569.8,9469.8
1975,Rio Grande,6461.6,6835.8
1975,Routt,7770.4,8383.0
1975,Saguache,3229.0,3655.8
1975,San Juan,733.0,781.8
1975,San Miguel,2095.6,2299.4
1975,Sedgwick,3279.8,3012.6
1975,Summit,6465.799999999999,7455.6
1975,Teller,3991.6000000000004,4289.6
1975,Washington,4369.4,4286.6
1975,Weld,74285.8,76416.4
1975,Yuma,6835.0,6501.8
1976,Adams,149953.6,151832.2
1976,Alamosa,6480.4,7138.8
1976,Arapahoe,201399.8,178737.8
1976,Archuleta,2930.4,2274.4
1976,Baca,5648.4,5566.8
1976,Bent,4589.0,4691.0
1976,Boulder,123076.4,122153.6
1976,Broomfield,0.0,0.0
1976,Chaffee,7740.4,8021.0
1976,Cheyenne,2123.6,2296.4
1976,Clear Creek,4618.2,4864.4
1976,Conejos,6470.0,6885.2
1976,Costilla,2987.2,3525.8
1976,Crowley,1846.0,2124.2
1976,Custer,1008.4,1058.4
1976,Delta,11801.8,12281.2
1976,Denver,498055.8,561365.8
1976,Dolores,1672.6,1484.0
1976,Douglas,11813.4,12140.4
1976,Eagle,14236.8,12622.8
1976,El Paso,175467.8,176191.4
1976,Elbert,3898.8,3758.0
1976,Fremont,12792.8,13834.2
1976,Garfield,14337.6,12629.4
1976,Gilpin,935.4,1296.0
