LG_ID,NAME,LGTYPE_ID,AUDIT_YEAR,REV_TOTAL,REV_TOTAL_TAX,REV_PROPERTY_TAX,REV_SO_TAX,REV_SALES_USE_TAX,REV_OCCUPATION_TAX,REV_FRANCHISE_TAX,REV_OTHER_TAX,REV_LODGING_TAX,REV_REAL_ESTATE_TRANSFER_TAX,REV_UNCLASS_TAX,REV_LICENSES,REV_CHARGES,REV_FINES,REV_TRANSFER_IN,REV_INTGOVT,REV_HUT,REV_CIGARETTE_TAX,REV_MOTOR_VEH_FEE,REV_CTF,REV_SOCIAL_SERVICE,ALL_OTHER_INTGOVT,REV_MISC,REV_INTEREST,EXP_TOTAL,EXP_TOTAL_OPERATING,EXP_GEN_GOVT,EXP_JUDICIAL,EXP_TOTAL_PUBLIC_SAFETY,EXP_POLICE,EXP_FIRE,EXP_OTHER_PUBLIC_SAFETY,EXP_TOTAL_PUBLIC_WORKS,EXP_STREET,EXP_TRASH,EXP_OTHER_PUBLIC_WORKS,EXP_HEALTH,EXP_RECREATION,EXP_SOCIAL_SERVICE,EXP_MISC,EXP_TRANSFER_OUT,EXP_CAPITAL_OUTLAY,EXP_DEBT_SERVICE_GEN,EXP_PRINCIPAL_GEN,EXP_INTEREST_GEN,GO_DEBT_GEN,REVENUE_DEBT_GEN,OTHER_DEBT_GEN,ASSETS,LIABILITIES,POPULATION,RETAIL_SALES,ST_SALES_TAX_PAID,SALES_TAX_RATE
01001,Adams County,1,1975,27622900,9229100,8248100,898700,0,0,0,82300,0,0,0,163900,1361100,0,0,16008800,1072000,317900,234400,0,10972400,3412100,860000,463876,27963500,25221500,4666500,743800,2408700,1927100,0,481600,1617000,1608300,3400,5300,964600,1474900,13290500,55500,546600,2195400,0,0,0,0,0,0,0,0,216880,1143432,20346562,0
01001,Adams County,1,1976,32777100,12619700,11283900,1256200,0,0,0,79600,0,0,0,200000,1557300,0,0,17276500,1046000,343300,114500,0,11315500,4457200,1123600,668397,31194700,27476200,5111500,901800,2807500,2220200,0,587300,2313400,2305800,0,7600,1078300,1509400,13738200,16100,458900,3259600,0,0,0,0,0,0,0,0,222739,1288492,24022048,0
01001,Adams County,1,1977,35305800,13598500,12402300,1164600,0,0,0,31600,0,0,0,206600,1977000,0,0,18554200,1162000,363700,255700,0,11946200,4826600,969500,656143,35153600,31761200,5038400,1036300,3031700,2715000,0,316700,2419000,2410400,0,8600,1357100,1947200,14448600,2482900,622000,2770400,0,0,0,0,0,0,0,0,226135,1514871,28278304,0
01001,Adams County,1,1978,43821800,15485500,13881200,1558300,0,0,0,46000,0,0,0,204900,2240600,0,0,24679000,1299900,339600,327400,0,12843000,9869100,1211800,961809,41602200,39802200,5364500,1321700,3264100,2929800,0,334300,3351800,3342700,0,9100,1430200,1802200,15449800,7817900,652200,1147800,0,0,0,0,0,0,0,0,239634,1844429,35943168,0
01001,Adams County,1,1979,44203200,16403900,14584300,1780800,0,0,0,38800,0,0,0,258000,2317100,0,0,22927600,1451300,394100,220100,0,13042200,7819900,2296600,1746913,41577000,39673900,5897700,1544900,3585500,3254400,0,331100,3650300,3641600,0,8700,1549300,1894200,16255500,5296500,756500,1146600,0,0,0,0,0,0,0,0,246063,2198059,43148344,0
01001,Adams County,1,1980,49933900,18201100,16255200,1842500,0,0,0,103400,0,0,0,229700,2326700,0,0,26673500,2040000,416100,415600,0,15191600,8610200,2502900,2176197,49729400,46250200,6977300,1492800,4184300,3799100,0,385200,4259700,4231700,28000,0,1667500,2313800,19076800,6278000,767100,2712100,0,0,0,0,0,0,0,0,245944,2390634,38608392,0
01001,Adams County,1,1981,53401400,20568500,18694600,1835000,0,0,0,38900,0,0,0,134700,2881100,0,0,25093300,1878300,346600,0,0,16920800,5947600,4723800,2687584,53803800,50755800,8329400,1409800,4938000,4484200,0,453800,5503500,5456300,47200,0,1568900,2642600,20995200,5368400,759100,2288900,0,0,0,0,0,7009900,0,0,253031,2791783,44613784,0
01001,Adams County,1,1982,55332700,23224500,21246000,1978500,0,0,0,0,0,0,0,346100,2965500,0,0,25214300,1670600,442600,0,0,17749900,5351200,3582300,2661340,56078500,50944200,9896400,1507900,5397600,4922400,0,475200,4178800,4178800,0,0,1660100,2667800,23434800,2200800,1364500,2709900,1059900,860600,199300,0,0,6149300,0,0,260136,2848850,44162744,0
01001,Adams County,1,1983,64438900,28767400,22803800,2219000,3726500,0,0,18100,0,0,0,299100,2453900,0,0,30120500,1845600,482800,0,0,21609800,6182300,2798000,1717534,67347100,59312800,10663600,1600300,6624900,5993600,0,631300,5541900,5541900,0,0,2093200,3157300,27195000,2436600,1345500,5614700,1074100,880400,193700,2375000,0,5658400,0,0,267245,3064906,52443312,0.5
01001,Adams County,1,1984,86225300,48511100,30073500,2636200,15801400,0,0,0,0,0,0,350300,3955000,0,94400,28047600,2397600,538300,238000,308400,19741700,4823600,5266900,4538391,85583600,60949700,13392600,1949100,7659500,6916300,0,743200,5016900,5016900,0,0,2009300,3230700,25864200,1827400,1015800,22181500,1436600,1079900,356700,5945000,19509936,1008600,0,0,265770,3493417,60948304,1
