Series_ID,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
LAUCN08001003,5.7,5.5,5.8,5.3,4.4,4,4.2,3.3,3.4,2.8,2.8,4,6.3,7.2,6.5,5.8,4.8,4.3,5.4,9.4,10.3,10,9.2,
LAUCN08001004,8057,7800,8562,8042,6971,6568,7157,5661,6056,5176,5169,7600,12073,14462,13404,12324,10620,9452,12190,21563,23748,23300,21674,
LAUCN08001005,132892,134868,137948,143050,151859,159186,162391,167950,174580,178407,181994,180089,181083,186679,192044,199636,209287,211796,214885,207903,207347,208815,212762,
LAUCN08001006,140949,142668,146510,151092,158830,165754,169548,173611,180636,183583,187163,187689,193156,201141,205448,211960,219907,221248,227075,229466,231095,232115,234436,
LAUCN08003003,7.2,7.3,8.2,7.1,5.9,6.1,6,5.3,6.4,5.3,3.6,4.2,5,5.9,6,5.6,4.6,4,5.2,7,7.8,8.4,9.1,
LAUCN08003004,487,500,573,513,447,489,494,442,553,443,261,328,411,481,495,457,386,338,437,630,687,739,800,
LAUCN08003005,6267,6328,6429,6716,7116,7522,7757,7954,8038,7885,6964,7423,7798,7729,7772,7759,7949,8079,7963,8329,8107,8023,7966,
LAUCN08003006,6754,6828,7002,7229,7563,8011,8251,8396,8591,8328,7225,7751,8209,8210,8267,8216,8335,8417,8400,8959,8794,8762,8766,
LAUCN08007003,5.1,7.8,8.3,7.6,5.1,4.6,5.3,5.2,5.1,4.1,3.2,4,5.5,5.9,5.6,5.2,4.1,3.8,5,8.3,10.1,9.5,9.4,
LAUCN08007004,137,216,236,229,167,168,207,215,228,193,160,211,310,331,323,316,268,256,330,527,632,586,574,
LAUCN08007005,2551,2536,2597,2793,3131,3479,3695,3889,4250,4564,4865,5108,5353,5271,5468,5724,6265,6399,6229,5831,5596,5584,5551,
LAUCN08007006,2688,2752,2833,3022,3298,3647,3902,4104,4478,4757,5025,5319,5663,5602,5791,6040,6533,6655,6559,6358,6228,6170,6125,
LAUCN08009003,1.9,3.5,3.4,2.6,2.6,2.5,2.1,1.6,2,2.5,2.9,3,3.4,3.8,3.7,3.9,3.1,2.5,3.4,4.1,4.3,4.1,4,
LAUCN08009004,38,70,71,55,54,55,49,39,49,60,62,73,85,90,87,89,76,61,76,105,106,102,94,
LAUCN08009005,1993,1956,1990,2035,2003,2173,2246,2350,2405,2324,2049,2374,2452,2288,2273,2200,2378,2355,2177,2485,2354,2380,2263,
LAUCN08009006,2031,2026,2061,2090,2057,2228,2295,2389,2454,2384,2111,2447,2537,2378,2360,2289,2454,2416,2253,2590,2460,2482,2357,
LAUCN08011003,3.4,4.6,5.8,4.1,3.1,2.9,4,2.9,3.7,3.5,3.9,4.3,6.6,7.8,6.5,6.4,5.6,4.9,6.2,7.2,8.1,8,8.5,
LAUCN08011004,70,95,120,89,70,67,91,66,87,78,89,109,167,189,155,153,137,119,146,194,210,202,192,
LAUCN08011005,2010,1958,1956,2096,2183,2243,2171,2216,2275,2172,2190,2402,2357,2232,2248,2250,2303,2323,2209,2493,2367,2327,2070,
LAUCN08011006,2080,2053,2076,2185,2253,2310,2262,2282,2362,2250,2279,2511,2524,2421,2403,2403,2440,2442,2355,2687,2577,2529,2262,
LAUCN08013003,4.8,4.8,5,4.6,3.8,4,3.9,3,3.1,2.8,2.4,3.7,5.8,5.8,4.9,4.5,3.7,3.3,4.1,6.8,7,6.4,6.1,
LAUCN08013004,6037,6155,6678,6417,5719,6113,5979,4720,5126,4781,3847,6029,9428,9492,8249,7600,6405,5820,7359,12006,12179,11241,10899,
LAUCN08013005,118652,122415,126617,133753,142961,147060,148909,154741,159622,165033,156543,156627,154181,155380,158533,162017,166365,169144,171061,163900,162917,165378,168917,
LAUCN08013006,124689,128570,133295,140170,148680,153173,154888,159461,164748,169814,160390,162656,163609,164872,166782,169617,172770,174964,178420,175906,175096,176619,179816,
LAUCN08014003,3.6,3.6,3.8,3.5,2.9,2.9,2.9,2.2,2.3,2,2.4,3.7,5.8,6.4,5.8,4.9,4.3,3.6,4.5,7.7,7.9,7.6,7.1,
LAUCN08014004,518,523,572,546,481,496,502,395,426,389,543,818,1304,1525,1399,1216,1099,1080,1393,2369,2427,2364,2249,
LAUCN08014005,13758,14111,14533,15266,16280,16837,17078,17712,18302,18845,22073,21573,21294,22242,22742,23522,24667,29133,29616,28571,28404,28715,29257,
LAUCN08014006,14276,14634,15105,15812,16761,17333,17580,18107,18728,19234,22616,22391,22598,23767,24141,24738,25766,30213,31009,30940,30831,31079,31506,
LAUCN08015003,6.8,6.1,6.9,6,4.6,3.9,4.7,3.6,4.1,3.3,3.3,4,5.2,5.8,6,5.4,4.3,3.6,4.5,7,8,7.5,7.1,
LAUCN08015004,397,373,427,382,313,285,349,279,323,262,245,301,403,454,483,448,356,299,376,601,678,631,605,
LAUCN08015005,5456,5726,5752,6031,6510,6939,7140,7374,7593,7658,7120,7218,7422,7376,7611,7810,7895,7973,8031,7995,7762,7819,7949,
LAUCN08015006,5853,6099,6179,6413,6823,7224,7489,7653,7916,7920,7365,7519,7825,7830,8094,8258,8251,8272,8407,8596,8440,8450,8554,
LAUCN08017003,1.3,2.1,3.6,3.3,2.2,3.1,2.6,2.5,3.6,3.7,2.5,2.3,3.1,3.5,3.1,3.2,2.7,2.5,2.7,2.8,3.3,3.4,3.9,
LAUCN08017004,15,26,45,38,25,37,32,33,51,48,28,30,42,45,41,43,37,35,34,39,44,46,50,
LAUCN08017005,1167,1187,1203,1107,1110,1172,1208,1289,1370,1243,1095,1253,1301,1244,1289,1319,1330,1341,1229,1330,1293,1304,1226,
LAUCN08017006,1182,1213,1248,1145,1135,1209,1240,1322,1421,1291,1123,1283,1343,1289,1330,1362,1367,1376,1263,1369,1337,1350,1276,
LAUCN08019003,3.9,4.4,5.4,7.1,4.9,4.1,4,3.4,2.8,3,2.7,3.4,5.2,5.7,5.7,4.8,4,3.7,4.6,8,8.3,7.7,7.4,
LAUCN08019004,175,199,249,354,241,217,210,180,154,159,166,200,309,341,337,282,236,211,259,436,473,424,416,
LAUCN08019005,4274,4338,4401,4617,4687,5060,5043,5119,5332,5211,5894,5746,5673,5686,5541,5610,5628,5480,5423,5010,5208,5088,5184,
LAUCN08019006,4449,4537,4650,4971,4928,5277,5253,5299,5486,5370,6060,5946,5982,6027,5878,5892,5864,5691,5682,5446,5681,5512,5600,
LAUCN08021003,11.8,10.7,12.4,9.7,8.7,8.6,8.7,8.6,9,7.4,5,6.2,7.1,7.1,8,7.9,6.5,5.6,7.3,8.2,9.4,9.9,9.9,
LAUCN08021004,368,330,392,314,301,310,325,329,348,280,169,225,268,268,306,301,249,206,265,309,367,379,376,
LAUCN08021005,2757,2753,2758,2916,3163,3302,3408,3483,3536,3498,3180,3377,3514,3501,3507,3513,3568,3463,3387,3443,3522,3442,3417,
LAUCN08021006,3125,3083,3150,3230,3464,3612,3733,3812,3884,3778,3349,3602,3782,3769,3813,3814,3817,3669,3652,3752,3889,3821,3793,
LAUCN08023003,10.6,13.5,10.2,11.2,11.3,11.1,10.9,15.5,14.7,11.7,7.4,8.3,9.5,10.4,10.9,10.3,8.4,7.2,7.7,10,11.9,13.2,12.7,
LAUCN08023004,149,219,164,194,175,176,175,226,220,164,92,109,129,139,148,140,113,94,99,139,168,189,187,
LAUCN08023005,1262,1404,1446,1540,1371,1408,1436,1235,1280,1234,1158,1204,1224,1199,1213,1221,1230,1219,1188,1247,1246,1246,1282,
LAUCN08023006,1411,1623,1610,1734,1546,1584,1611,1461,1500,1398,1250,1313,1353,1338,1361,1361,1343,1313,1287,1386,1414,1435,1469,
LAUCN08025003,4,5.5,6.2,5.7,4.6,3.7,5.4,3.8,4.2,4.5,5.3,5.8,7.3,8.8,8.2,8,6.8,6.3,7.3,9.6,10.7,9.7,10.2,
LAUCN08025004,46,64,72,68,58,46,73,50,57,62,79,89,119,141,134,130,109,123,133,191,192,168,173,
LAUCN08025005,1098,1109,1092,1120,1199,1211,1285,1282,1302,1322,1413,1445,1519,1468,1495,1491,1501,1815,1697,1807,1601,1566,1519,
LAUCN08025006,1144,1173,1164,1188,1257,1257,1358,1332,1359,1384,1492,1534,1638,1609,1629,1621,1610,1938,1830,1998,1793,1734,1692,
LAUCN08027003,4.5,5.1,6.7,5.6,4.1,4.1,4.6,4.1,4.1,2.5,3.4,4.1,4.3,5.2,5.2,4.8,4.3,4,5,7,7.2,6.9,6.9,
LAUCN08027004,40,51,77,71,54,63,79,75,77,45,57,74,86,102,106,98,84,80,97,142,143,133,131,
LAUCN08027005,854,951,1071,1206,1278,1487,1638,1751,1812,1776,1612,1719,1921,1869,1920,1936,1890,1929,1825,1901,1850,1806,1773,
