year,cty,SALES_TAX_RATE,births,cty_exp_prop,cty_rev_prop,deaths,defl,edu_yrs,emp_cnstr,emp_ed_hlth,emp_fin,emp_info,emp_lsr_hosp,emp_mfg,emp_nat_res,emp_other,emp_prof,emp_pub_ad,emp_total,emp_trd,emp_unclass,est_cnstr,est_ed_hlth,est_fin,est_info,est_lsr_hosp,est_mfg,est_nat_res,est_other,est_prof,est_pub_ad,est_total,est_trd,est_unclass,fed_wage,gq_pop,gsp,h_units,hh_size,intensity_flow,intensity_stock,july_hh_pop,july_pop,labforce,loc_wage,med_age,migration,nat_pop_inc,nonres_rate,num_hh,perc_dem,permits,pop,pov_pop,prop_ratio,r_ALL_OTHER_INTGOVT,r_ASSETS,r_EXP_CAPITAL_OUTLAY,r_EXP_DEBT_SERVICE_GEN,r_EXP_FIRE,r_EXP_GEN_GOVT,r_EXP_HEALTH,r_EXP_INTEREST_GEN,r_EXP_JUDICIAL,r_EXP_MISC,r_EXP_OTHER_PUBLIC_SAFETY,r_EXP_OTHER_PUBLIC_WORKS,r_EXP_POLICE,r_EXP_PRINCIPAL_GEN,r_EXP_RECREATION,r_EXP_SOCIAL_SERVICE,r_EXP_STREET,r_EXP_TOTAL,r_EXP_TOTAL_OPERATING,r_EXP_TOTAL_PUBLIC_SAFETY,r_EXP_TOTAL_PUBLIC_WORKS,r_EXP_TRANSFER_OUT,r_EXP_TRASH,r_GO_DEBT_GEN,r_LIABILITIES,r_OTHER_DEBT_GEN,r_RETAIL_SALES,r_REVENUE_DEBT_GEN,r_REV_CHARGES,r_REV_CIGARETTE_TAX,r_REV_CTF,r_REV_FINES,r_REV_FRANCHISE_TAX,r_REV_HUT,r_REV_INTEREST,r_REV_INTGOVT,r_REV_LICENSES,r_REV_LODGING_TAX,r_REV_MISC,r_REV_MOTOR_VEH_FEE,r_REV_OCCUPATION_TAX,r_REV_OTHER_TAX,r_REV_PROPERTY_TAX,r_REV_REAL_ESTATE_TRANSFER_TAX,r_REV_SALES_USE_TAX,r_REV_SOCIAL_SERVICE,r_REV_SO_TAX,r_REV_TOTAL,r_REV_TOTAL_TAX,r_REV_TRANSFER_IN,r_REV_UNCLASS_TAX,r_ST_SALES_TAX_PAID,r_TOTAL_DEBT,r_all_gov_exp,r_all_gov_rev,r_mhv,r_non_resid,r_nonres_val,r_res_val,r_resid,r_total,r_wage_cnstr,r_wage_ed_hlth,r_wage_fin,r_wage_info,r_wage_lsr_hosp,r_wage_mfg,r_wage_nat_res,r_wage_other,r_wage_prof,r_wage_pub_ad,r_wage_total,r_wage_trd,r_wage_unclass,res_rate,st_wage,stcou,unemp_rate,vac_hu,vac_rate,w_db_b_g,w_db_b_g_ap,w_db_b_i,w_db_b_i_ap,w_db_c_g,w_db_c_g_ap,w_db_c_i,w_db_c_i_ap,w_kern_g,w_kern_g_ap,w_kern_i,w_kern_i_ap,w_queen_g,w_queen_g_ap,w_queen_i,w_queen_i_ap,w_rook_g,w_rook_g_ap,w_rook_i,w_rook_i_ap,cty_rev_prop,cty_exp_prop
1975,Adams,0.0,,,,,0.2508158508158508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20166.0,,,,,,,,,,,,,,,,,,,13604004.646840151,0.0,8753035.315985132,0.0,0.0,18605283.45724907,3845849.4423791827,0.0,2965522.304832714,221277.8810408922,1920133.8289962828,21131.040892193312,7683326.20817844,0.0,5880409.851301116,52989075.27881042,6412274.163568774,111490162.63940522,100557839.21933086,9603460.037174722,6446960.9665427515,2179288.1040892196,13555.762081784389,0.0,0.0,0.0,4558850.631970261,0.0,5426690.5204460975,1267463.7546468403,0.0,0.0,0.0,4274052.044609666,1849468.4386617104,63826907.06319703,653467.4721189592,0.0,3428810.4089219337,934550.1858736061,0.0,328129.1821561339,32885082.71375465,0.0,0.0,43746836.431226775,3583106.8773234207,110132194.23791823,36796318.7732342,0.0,0.0,81121515.78066915,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,Alamosa,0.0,,,,,0.2508158508158508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20166.0,,,,,,,,,,,,,,,,,,,942524.1635687733,0.0,2009841.0780669148,0.0,0.0,1454054.8327137548,230049.25650557622,0.0,131969.3308550186,46249.070631970266,4385.687732342008,0.0,279886.6171003718,0.0,96086.43122676581,2003063.1970260225,650277.8810408923,7050192.379182157,4972572.49070632,284272.3048327138,726828.0669144982,67778.81040892194,76550.18587360595,0.0,0.0,0.0,248138.22490706324,0.0,486013.94052044617,55817.84386617101,0.0,0.0,0.0,1121539.962825279,117137.73234200745,3840666.3568773237,10366.171003717474,0.0,194565.0557620818,131969.3308550186,0.0,23523.234200743496,1861126.394052045,0.0,0.0,1588815.055762082,317364.312267658,6733625.464684016,2202013.9405204463,0.0,0.0,5260500.864312269,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,Arapahoe,0.0,,,,,0.2508158508158508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20166.0,,,,,,,,,,,,,,,,,,,10606586.431226768,0.0,18328985.130111527,0.0,0.0,11553496.282527883,3194774.163568774,0.0,3217500.0000000005,0.0,826901.4869888477,635924.7211895912,8514214.684014872,0.0,5591751.858736061,14917717.47211896,5010448.884758365,75455358.73605949,54231421.00371748,9341116.171003718,6415065.055762082,2894952.6022304837,768691.4498141265,797397.7695167287,0.0,0.0,4884452.063197027,0.0,6701330.855018588,620375.4646840149,0.0,0.0,0.0,2667295.5390334576,2741425.62267658,26359179.368029743,79341.0780669145,0.0,2880200.743494424,648683.0855018588,0.0,0.0,23512868.02973978,0.0,0.0,11816238.847583644,1789759.2936802977,61322679.36802975,25302627.323420078,0.0,0.0,98955037.80669147,797397.7695167287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,Archuleta,1.0,,,,,0.2508158508158508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20166.0,,,,,,,,,,,,,,,,,,,568544.6096654276,0.0,737991.6356877325,0.0,5581.7843866171015,621970.2602230484,46647.76951672863,0.0,42660.78066914499,7973.9776951672875,16745.353159851304,0.0,90504.6468401487,0.0,45451.67286245354,508739.7769516729,1073696.0966542752,3197963.7546468405,2459972.118959108,112831.78438661712,1073696.0966542752,0.0,0.0,0.0,0.0,0.0,52676.0966542751,0.0,101668.21561338291,17941.449814126398,0.0,0.0,0.0,1153435.8736059482,82135.95724907065,2131842.9368029744,2392.193308550186,0.0,99276.02230483273,24719.33085501859,0.0,0.0,579309.4795539035,0.0,180211.8959107807,367201.67286245356,120008.36431226767,3214709.107806692,879529.7397769518,0.0,0.0,951128.0855018588,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,Baca,0.0,,,,,0.2508158508158508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20166.0,,,,,,,,,,,,,,,,,,,696925.6505576209,0.0,1012296.4684014871,0.0,0.0,1179750.0000000002,103263.01115241637,0.0,35484.20074349443,8372.676579925652,1993.4944237918219,0.0,411058.55018587364,0.0,223670.0743494424,524289.0334572492,2381827.1375464685,6002013.011152417,4869708.178438663,413052.04460966546,2381827.1375464685,120008.36431226767,0.0,0.0,0.0,0.0,137730.52973977698,0.0,324540.89219330857,5183.085501858737,0.0,0.0,0.0,1786569.7026022307,66439.18215613384,2933626.394052045,0.0,0.0,181806.69144981416,57811.338289962834,0.0,12359.665427509295,1973958.178438662,0.0,0.0,387136.6171003718,287860.59479553904,5714152.416356878,2274178.4386617104,0.0,0.0,1916405.994423792,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,Bent,1.0,,,,,0.2508158508158508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20166.0,,,,,,,,,,,,,,,,,,,813345.7249070633,0.0,1698058.5501858739,0.0,0.0,820123.6059479555,146322.49070631972,0.0,50634.75836431228,9170.07434944238,101668.21561338291,0.0,167453.53159851304,0.0,177421.00371747214,1893421.0037174723,242807.6208178439,5709766.728624536,3609022.304832714,269121.74721189594,242807.6208178439,402685.873605948,0.0,0.0,0.0,0.0,57651.85873605949,0.0,244801.1152416357,8372.676579925652,0.0,0.0,0.0,938138.4758364314,126957.68587360597,3321560.4089219337,0.0,0.0,203336.43122676582,41464.6840148699,0.0,7176.579925650559,1795739.7769516732,0.0,338096.654275093,1520238.8475836434,155093.86617100373,6065804.832713756,2296106.8773234203,0.0,0.0,1068162.1561338292,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,Boulder,0.0,,,,,0.2508158508158508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20166.0,,,,,,,,,,,,,,,,,,,11533960.037174722,0.0,5418317.843866171,0.0,48242.56505576209,11323845.724907065,2295309.4795539035,0.0,1676927.5092936805,5085005.576208179,1825243.494423792,55817.84386617101,5963339.219330856,0.0,3030908.921933086,23913959.107806694,7598403.345724908,70716025.09293681,63301023.23420075,7836825.27881041,8138241.635687733,1996684.0148698888,484020.44609665434,0.0,0.0,0.0,2824119.758364313,0.0,2918475.836431227,273108.7360594796,0.0,0.0,0.0,2641778.8104089224,1779648.2899628256,33273016.72862454,360025.092936803,0.0,3205539.0334572494,389927.50929368037,0.0,72563.19702602232,38216085.50185874,0.0,0.0,18434241.635687735,2475122.676579926,80520828.06691451,40763771.37546469,0.0,0.0,56914951.5613383,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,Broomfield,0.3359375,,,,,0.2508158508158508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20166.0,,,,,,,,,,,,,,,,,,,5050898.132551116,0.0,5944226.840729555,523734.59282063204,1198476.3882434946,4934035.751626395,1923578.836547398,214630.82307156138,615827.8055297398,974681.7204925652,329206.91507899633,88230.81726301117,3840435.859084573,309103.7697490707,1947600.4443540894,8896380.024395913,3049435.960734201,35851521.0292751,28434650.02032993,5368119.162407064,3774426.274976766,948909.5753949815,636759.496979554,3956366.904333179,0.0,19754.283805762083,114415434.17373376,300270.09758364316,1538516.6995817847,360816.2610362454,0.0,309334.2675418216,363762.8949814127,1909238.1360362456,1038474.4142077139,14567753.296352232,224772.72595260225,0.0,2314914.251277881,220474.25360130114,666686.8320167287,144372.60397304836,9103504.095027883,0.0,3620123.576905205,7026326.513127324,703877.9623605949,33568820.15276487,14602327.965264872,11200.9467936803,0.0,16129191.755489081,4276391.285722584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,Chaffee,1.0,,,,,0.2508158508158508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20166.0,,,,,,,,,,,,,,,,,,,734004.6468401488,0.0,702108.7360594796,0.0,7973.9776951672875,1424152.4163568774,121204.46096654277,0.0,197754.64684014872,19934.94423791822,59804.83271375465,0.0,463686.80297397776,0.0,82929.3680297398,2111509.2936802977,1153037.1747211898,6634349.442379183,5904331.784386618,531465.6133828997,1415381.0408921936,27908.921933085505,262343.8661710037,0.0,0.0,0.0,188708.16914498142,0.0,245199.81412639408,53026.95167286246,0.0,0.0,0.0,1288594.7955390336,121973.9498141264,3656467.4721189598,52229.55390334573,0.0,271115.24163568777,66582.71375464684,0.0,21131.040892193312,1934486.988847584,0.0,0.0,1514258.3643122679,315370.8178438662,6496000.92936803,2270988.8475836436,0.0,0.0,4031966.0687732347,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,Cheyenne,0.0,,,,,0.2508158508158508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20166.0,,,,,,,,,,,,,,,,,,,289056.6914498142,0.0,596054.8327137547,0.0,0.0,629545.5390334573,27908.921933085505,0.0,34288.104089219334,60203.53159851302,10366.171003717474,0.0,148714.6840148699,0.0,700115.2416356879,174630.1115241636,1219221.1895910783,3601048.327137547,3004993.494423792,159080.85501858738,1219221.1895910783,0.0,0.0,0.0,0.0,0.0,49901.15241635688,0.0,93295.53903345726,5183.085501858737,0.0,0.0,0.0,908634.7583643124,88471.28252788105,1344811.338289963,5183.085501858737,0.0,127982.34200743496,21529.739776951676,0.0,4784.386617100372,1220018.587360595,0.0,0.0,120407.06319702604,102465.61338289964,2898540.892193309,1327268.587360595,0.0,0.0,586968.4851301116,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
