year,gsp
1963,5925
1964,6228
1965,6631
1966,7275
1967,7666
1968,8540
1969,9480
1970,10431
1971,11998
1972,13784
1973,16120
1974,17852
1975,20166
1976,22253
1977,25428
1978,29398
1979,33785
1980,38332
1981,43974
1982,47654
1983,50718
1984,56230
1985,59641
1986,60970
1987,63920
1988,67757
1989,71179
1990,75571
1991,79766
1992,87302
1993,95659
1994,104507
1995,112708
1996,121081
1997,132898
1998,142086
1999,155377
2000,172037
2001,180980
2002,186529
2003,192040
2004,201564
2005,217329
2006,230236
2007,242633
2008,252487
2009,245362
2010,254551
2011,264733
2012,274048
