,occ_hu,own_occ,own_hh1,own_hh2,own_hh3,own_hh4,own_hh5,own_hh6,own_hh7,rent_occ,ren_hh1,ren_hh2,ren_hh3,ren_hh4,ren_hh5,ren_hh6,ren_hh7,occ_hu2,own_mort,own_clear,rent_occ2,tot_pop,NAME,state,county,tract,cty_name
1,1191,135,48,38,11,13,12,5,8,1056,270,210,192,176,119,40,49,1191,103,32,1056,3732,Census Tract 78.01,08,001,007801,Adams County
2,1240,157,33,36,23,15,23,12,15,1083,300,246,182,131,117,60,47,1240,123,34,1083,3758,Census Tract 78.02,08,001,007802,Adams County
3,1780,535,142,137,77,62,52,29,36,1245,297,286,198,191,124,65,84,1780,430,105,1245,5555,Census Tract 79,08,001,007900,Adams County
4,1726,993,228,295,135,113,89,59,74,733,158,142,84,112,88,68,81,1726,765,228,733,5742,Census Tract 80,08,001,008000,Adams County
5,314,36,9,11,2,2,7,4,1,278,131,110,21,5,7,3,1,314,20,16,278,854,Census Tract 81,08,001,008100,Adams County
6,1477,1111,245,362,144,108,85,69,98,366,49,52,47,64,53,40,61,1477,769,342,366,5484,Census Tract 82,08,001,008200,Adams County
7,1802,925,241,269,137,105,78,42,53,877,189,187,140,140,101,58,62,1802,555,370,877,5557,Census Tract 83.08,08,001,008308,Adams County
8,1030,713,154,184,93,108,88,58,28,317,62,64,62,63,38,17,11,1030,440,273,317,3254,Census Tract 83.09,08,001,008309,Adams County
9,2137,1697,424,487,289,260,130,61,46,440,89,112,84,71,44,19,21,2137,1585,112,440,6044,Census Tract 83.53,08,001,008353,Adams County
10,1543,1238,218,437,237,179,90,52,25,305,93,72,45,41,33,16,5,1543,1030,208,305,4315,Census Tract 84.01,08,001,008401,Adams County
11,1574,1278,212,454,227,224,98,35,28,296,104,76,43,38,22,11,2,1574,1060,218,296,4352,Census Tract 84.02,08,001,008402,Adams County
12,2376,1921,391,676,344,273,114,64,59,455,137,93,57,65,52,29,22,2376,1428,493,455,6655,Census Tract 85.05,08,001,008505,Adams County
13,2425,491,121,162,87,64,33,13,11,1934,940,442,251,171,89,26,15,2425,444,47,1934,5383,Census Tract 85.06,08,001,008506,Adams County
14,2036,1711,296,617,317,227,124,75,55,325,35,55,67,63,55,22,28,2036,1294,417,325,6099,Census Tract 85.07,08,001,008507,Adams County
15,1893,1354,216,457,251,236,115,41,38,539,161,166,80,68,35,13,16,1893,1161,193,539,5342,Census Tract 85.08,08,001,008508,Adams County
16,2610,2221,294,873,386,381,176,73,38,389,65,91,78,69,45,29,12,2610,1915,306,389,7586,Census Tract 85.23,08,001,008523,Adams County
17,2462,2253,252,639,454,567,212,71,58,209,21,43,45,48,29,14,9,2462,2115,138,209,7814,Census Tract 85.24,08,001,008524,Adams County
18,2410,1975,326,622,372,409,169,51,26,435,130,136,76,53,26,12,2,2410,1736,239,435,6742,Census Tract 85.26,08,001,008526,Adams County
19,3308,1251,295,492,223,144,59,25,13,2057,744,715,325,182,59,20,12,3308,1042,209,2057,7446,Census Tract 85.29,08,001,008529,Adams County
20,2976,1378,244,391,267,270,122,55,29,1598,644,482,226,153,53,25,15,2976,1334,44,1598,7650,Census Tract 85.33,08,001,008533,Adams County
21,1399,1231,162,436,226,223,104,52,28,168,7,35,35,44,26,11,10,1399,1101,130,168,4283,Census Tract 85.34,08,001,008534,Adams County
22,1111,766,117,247,136,140,84,25,17,345,79,77,64,71,34,13,7,1111,689,77,345,3298,Census Tract 85.35,08,001,008535,Adams County
23,832,750,111,258,143,129,74,24,11,82,11,17,23,14,8,7,2,832,710,40,82,2443,Census Tract 85.36,08,001,008536,Adams County
24,1858,1686,196,493,293,388,178,84,54,172,17,32,29,41,37,11,5,1858,1595,91,172,6047,Census Tract 85.37,08,001,008537,Adams County
25,1773,1588,207,545,321,314,130,51,20,185,14,36,27,60,30,10,8,1773,1527,61,185,5305,Census Tract 85.38,08,001,008538,Adams County
26,2660,2286,337,640,454,444,236,96,79,374,30,84,66,93,67,21,13,2660,2236,50,374,8437,Census Tract 85.39,08,001,008539,Adams County
27,2087,1950,209,635,385,459,155,75,32,137,12,38,25,29,21,7,5,2087,1866,84,137,6408,Census Tract 85.40,08,001,008540,Adams County
28,1500,1443,128,663,250,243,102,28,29,57,7,15,9,14,3,3,6,1500,1271,172,57,4277,Census Tract 85.41,08,001,008541,Adams County
29,2227,1954,248,563,370,442,212,83,36,273,25,49,66,74,34,17,8,2227,1883,71,273,7036,Census Tract 85.42,08,001,008542,Adams County
30,2361,1836,352,563,310,331,147,85,48,525,223,66,68,75,59,18,16,2361,1389,447,525,6935,Census Tract 85.43,08,001,008543,Adams County
31,1334,1231,145,351,250,299,123,46,17,103,10,17,21,33,12,6,4,1334,1190,41,103,4181,Census Tract 85.44,08,001,008544,Adams County
32,2165,1994,207,651,387,447,188,80,34,171,14,34,42,37,24,7,13,2165,1771,223,171,6769,Census Tract 85.45,08,001,008545,Adams County
33,1041,851,189,255,163,155,57,18,14,190,31,41,39,39,25,13,2,1041,815,36,190,2912,Census Tract 85.46,08,001,008546,Adams County
34,1164,784,102,256,177,153,55,25,16,380,106,69,85,78,31,8,3,1164,726,58,380,3525,Census Tract 85.47,08,001,008547,Adams County
35,528,436,72,152,89,73,30,10,10,92,12,27,19,20,10,3,1,528,420,16,92,1499,Census Tract 85.48,08,001,008548,Adams County
36,1273,1064,156,313,207,225,111,35,17,209,28,41,45,44,27,16,8,1273,1009,55,209,3906,Census Tract 85.49,08,001,008549,Adams County
37,2662,2330,334,758,471,450,182,78,57,332,41,86,61,66,45,18,15,2662,2130,200,332,7987,Census Tract 85.50,08,001,008550,Adams County
38,183,167,10,62,37,34,15,6,3,16,4,2,2,1,5,1,1,183,140,27,16,571,Census Tract 85.51,08,001,008551,Adams County
39,713,330,84,112,44,46,22,12,10,383,104,60,75,60,47,19,18,713,259,71,383,2055,Census Tract 86.03,08,001,008603,Adams County
40,1163,795,141,254,146,103,76,38,37,368,84,61,66,66,52,24,15,1163,656,139,368,4923,Census Tract 86.04,08,001,008604,Adams County
41,1310,914,161,376,142,124,56,31,24,396,100,78,70,63,56,19,10,1310,674,240,396,3679,Census Tract 86.05,08,001,008605,Adams County
42,2143,1063,252,336,167,138,78,38,54,1080,353,230,172,173,91,41,20,2143,839,224,1080,5931,Census Tract 86.06,08,001,008606,Adams County
43,1528,908,216,266,124,125,83,48,46,620,120,122,94,100,92,53,39,1528,617,291,620,4921,Census Tract 87.05,08,001,008705,Adams County
44,1598,813,182,236,130,115,64,31,55,785,123,143,125,142,115,76,61,1598,595,218,785,5436,Census Tract 87.06,08,001,008706,Adams County
45,2448,986,191,274,146,134,87,65,89,1462,420,292,242,221,151,81,55,2448,772,214,1462,7656,Census Tract 87.09,08,001,008709,Adams County
46,1394,873,169,253,137,122,73,53,66,521,67,97,78,115,78,51,35,1394,656,217,521,4752,Census Tract 88.01,08,001,008801,Adams County
47,1143,721,142,204,103,102,82,49,39,422,71,77,61,76,61,44,32,1143,425,296,422,4075,Census Tract 88.02,08,001,008802,Adams County
48,711,444,115,129,63,46,41,26,24,267,61,35,41,52,28,24,26,711,339,105,267,2316,Census Tract 89.01,08,001,008901,Adams County
49,1460,934,174,307,145,128,86,44,50,526,80,107,117,85,68,37,32,1460,722,212,526,4645,Census Tract 90.01,08,001,009001,Adams County
50,3102,1965,444,606,348,271,142,80,74,1137,205,244,250,199,137,60,42,3102,1705,260,1137,9203,Census Tract 90.02,08,001,009002,Adams County
51,1334,1050,226,315,170,149,114,42,34,284,32,46,61,61,47,22,15,1334,826,224,284,4112,Census Tract 91.01,08,001,009101,Adams County
52,1054,876,149,208,154,174,108,49,34,178,28,29,30,40,25,12,14,1054,583,293,178,3462,Census Tract 91.03,08,001,009103,Adams County
53,1738,1261,234,349,214,198,138,81,47,477,124,125,90,80,36,13,9,1738,1107,154,477,5200,Census Tract 91.04,08,001,009104,Adams County
54,1366,930,207,281,154,147,76,40,25,436,53,72,78,101,71,30,31,1366,755,175,436,4242,Census Tract 92.02,08,001,009202,Adams County
55,1596,89,17,39,11,8,8,3,3,1507,474,379,262,201,127,38,26,1596,70,19,1507,4222,Census Tract 92.03,08,001,009203,Adams County
56,2445,1303,216,389,236,232,132,60,38,1142,402,378,171,111,60,12,8,2445,1208,95,1142,6500,Census Tract 92.04,08,001,009204,Adams County
57,747,628,176,181,83,96,48,25,19,119,27,43,20,17,5,3,4,747,542,86,119,2021,Census Tract 92.06,08,001,009206,Adams County
58,1516,812,120,283,157,121,64,36,31,704,173,164,148,121,56,22,20,1516,728,84,704,4429,Census Tract 92.07,08,001,009207,Adams County
59,2046,1308,351,463,217,141,75,34,27,738,166,194,144,125,62,29,18,2046,991,317,738,5400,Census Tract 93.04,08,001,009304,Adams County
60,1186,969,165,367,153,123,67,39,55,217,27,38,43,38,28,22,21,1186,709,260,217,3692,Census Tract 93.06,08,001,009306,Adams County
61,1214,672,107,223,122,81,57,41,41,542,137,106,90,90,63,34,22,1214,502,170,542,3774,Census Tract 93.07,08,001,009307,Adams County
62,1328,789,137,246,143,113,76,37,37,539,114,134,89,87,63,30,22,1328,634,155,539,4087,Census Tract 93.08,08,001,009308,Adams County
63,1413,752,179,255,137,96,45,22,18,661,265,139,95,76,51,20,15,1413,640,112,661,3613,Census Tract 93.09,08,001,009309,Adams County
64,1857,1077,223,329,173,147,92,46,67,780,183,152,124,127,99,47,48,1857,797,280,780,5827,Census Tract 93.10,08,001,009310,Adams County
65,2011,1572,434,498,195,170,147,68,60,439,87,95,63,70,66,37,21,2011,755,817,439,5751,Census Tract 93.16,08,001,009316,Adams County
66,2038,816,265,229,105,95,67,31,24,1222,311,276,208,214,132,52,29,2038,617,199,1222,5664,Census Tract 93.18,08,001,009318,Adams County
67,905,529,143,144,90,74,41,23,14,376,76,84,84,68,35,13,16,905,318,211,376,2605,Census Tract 93.19,08,001,009319,Adams County
68,1175,482,189,146,53,53,24,10,7,693,256,184,126,75,33,14,5,1175,305,177,693,2672,Census Tract 93.20,08,001,009320,Adams County
69,1528,812,225,238,127,105,60,34,23,716,258,223,114,72,35,8,6,1528,446,366,716,3782,Census Tract 93.21,08,001,009321,Adams County
70,1525,1087,287,327,168,125,105,41,34,438,115,93,77,77,47,21,8,1525,766,321,438,4246,Census Tract 93.22,08,001,009322,Adams County
71,1455,516,90,186,98,73,43,11,15,939,324,250,167,103,59,22,14,1455,428,88,939,3728,Census Tract 93.23,08,001,009323,Adams County
72,2387,1320,362,592,174,134,47,5,6,1067,431,366,156,74,24,13,3,2387,1068,252,1067,5063,Census Tract 93.25,08,001,009325,Adams County
73,1076,767,139,332,113,111,49,18,5,309,147,101,36,18,6,1,0,1076,636,131,309,2554,Census Tract 93.26,08,001,009326,Adams County
74,1544,1185,218,507,184,150,63,37,26,359,93,88,62,61,38,13,4,1544,874,311,359,4124,Census Tract 93.27,08,001,009327,Adams County
75,1743,1319,314,429,245,155,89,40,47,424,95,95,74,68,51,25,16,1743,979,340,424,4903,Census Tract 94.01,08,001,009401,Adams County
76,1700,1087,229,411,174,145,75,24,29,613,215,228,83,40,22,12,13,1700,780,307,613,4259,Census Tract 94.06,08,001,009406,Adams County
77,1746,1052,219,387,174,126,64,41,41,694,113,155,124,142,81,38,41,1746,825,227,694,5227,Census Tract 94.07,08,001,009407,Adams County
78,1682,1263,236,459,228,241,68,19,12,419,135,165,68,30,16,3,2,1682,1099,164,419,4260,Census Tract 94.08,08,001,009408,Adams County
79,2119,1681,337,682,276,245,92,34,15,438,153,158,58,45,12,7,5,2119,1397,284,438,5248,Census Tract 94.09,08,001,009409,Adams County
80,1261,1143,137,529,213,158,73,22,11,118,60,21,13,4,13,1,6,1261,863,280,118,3316,Census Tract 94.10,08,001,009410,Adams County
81,1222,825,232,335,120,102,22,8,6,397,71,140,87,57,27,5,10,1222,652,173,397,2959,Census Tract 94.11,08,001,009411,Adams County
82,1094,628,127,209,89,94,48,30,31,466,146,114,72,53,45,20,16,1094,474,154,466,3156,Census Tract 95.01,08,001,009501,Adams County
83,1187,867,207,259,130,110,70,46,45,320,62,69,53,44,47,23,22,1187,581,286,320,3633,Census Tract 95.02,08,001,009502,Adams County
84,1024,596,114,229,95,63,40,25,30,428,126,89,62,75,36,21,19,1024,435,161,428,2959,Census Tract 95.53,08,001,009553,Adams County
85,2311,1026,264,355,172,111,66,31,27,1285,447,320,230,158,84,29,17,2311,820,206,1285,5921,Census Tract 96.03,08,001,009603,Adams County
86,1959,900,273,319,142,81,42,21,22,1059,504,230,130,96,60,30,9,1959,689,211,1059,4569,Census Tract 96.04,08,001,009604,Adams County
87,1021,380,97,121,62,47,27,12,14,641,192,152,98,97,56,28,18,1021,274,106,641,2794,Census Tract 96.06,08,001,009606,Adams County
88,1806,792,143,285,115,112,79,35,23,1014,366,240,151,124,80,35,18,1806,621,171,1014,4931,Census Tract 96.07,08,001,009607,Adams County
89,1108,948,266,310,166,109,53,28,16,160,34,42,32,27,16,6,3,1108,767,181,160,2849,Census Tract 96.08,08,001,009608,Adams County
90,1341,745,210,219,103,92,73,31,17,596,191,147,91,71,58,19,19,1341,387,358,596,3626,Census Tract 97.51,08,001,009751,Adams County
91,1021,657,150,213,102,91,59,20,22,364,69,71,74,59,37,34,20,1021,517,140,364,3061,Census Tract 97.52,08,001,009752,Adams County
92,1051,751,265,274,66,74,39,13,20,300,98,87,42,31,25,13,4,1051,369,382,300,2495,Census Tract 150,08,001,015000,Adams County
93,1480,1397,110,431,267,359,156,57,17,83,9,20,14,19,12,6,3,1480,1232,165,83,4747,Census Tract 600,08,001,060000,Adams County
94,2084,1895,313,565,361,382,192,47,35,189,23,46,46,38,17,15,4,2084,1644,251,189,6170,Census Tract 601,08,001,060100,Adams County
95,1748,688,239,211,105,97,24,8,4,1060,416,384,155,71,20,11,3,1748,616,72,1060,3681,Census Tract 602,08,001,060200,Adams County
96,391,333,40,96,59,79,36,12,11,58,10,3,8,14,16,5,2,391,304,29,58,1294,Census Tract 612,08,001,061200,Adams County
97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Census Tract 9887,08,001,988700,Adams County
1,733,585,151,235,90,53,36,12,8,148,48,50,18,14,7,9,2,733,321,264,148,1775,Census Tract 9600,08,003,960000,Alamosa County
2,960,791,142,314,134,102,53,33,13,169,61,51,21,18,15,1,2,960,515,276,169,2532,Census Tract 9601,08,003,960100,Alamosa County
3,2608,1309,314,536,183,153,75,31,17,1299,607,333,181,106,43,20,9,2608,884,425,1299,6342,Census Tract 9602,08,003,960200,Alamosa County
4,1694,962,244,284,166,120,82,37,29,732,245,182,123,91,48,29,14,1694,610,352,732,4796,Census Tract 9603,08,003,960300,Alamosa County
1,1069,187,122,48,15,2,0,0,0,882,479,232,87,41,27,8,8,1069,169,18,882,1883,Census Tract 49.51,08,005,004951,Arapahoe County
2,1301,37,18,17,1,1,0,0,0,1264,679,376,100,59,31,15,4,1301,35,2,1264,2301,Census Tract 49.52,08,005,004952,Arapahoe County
3,1064,486,128,153,80,58,31,13,23,578,122,134,111,105,59,22,25,1064,396,90,578,3224,Census Tract 55.51,08,005,005551,Arapahoe County
4,1022,602,238,232,61,31,21,13,6,420,138,87,63,57,37,22,16,1022,311,291,420,2414,Census Tract 55.52,08,005,005552,Arapahoe County
