Population Year	 Area	 Variable	 Data
2011	Adams	Average Household Size	2.85
2011	Adams	Births	7244
2011	Adams	Deaths	2462
2011	Adams	Group Quarters Population (July)	4024
2011	Adams	Household Population (July)	447552
2011	Adams	Housing Vacancy Rate	3.84
2011	Adams	July Population	451576
2011	Adams	Natural Population Increase	4782
2011	Adams	Net Building Permits	226
2011	Adams	Net Migration	3083
2011	Adams	Population (U.S. Census Bureau)	451443
2011	Adams	Total Households	157264
2011	Adams	Total Housing Units	163550
2011	Adams	Vacant Housing Units	6286
2011	Alamosa	Average Household Size	2.45
2011	Alamosa	Births	234
2011	Alamosa	Deaths	131
2011	Alamosa	Group Quarters Population (July)	740
2011	Alamosa	Household Population (July)	14902
2011	Alamosa	Housing Vacancy Rate	7.95
2011	Alamosa	July Population	15642
2011	Alamosa	Natural Population Increase	103
2011	Alamosa	Net Building Permits	8
2011	Alamosa	Net Migration	65
2011	Alamosa	Population (U.S. Census Bureau)	15710
2011	Alamosa	Total Households	6075
2011	Alamosa	Total Housing Units	6600
2011	Alamosa	Vacant Housing Units	525
2011	Arapahoe	Average Household Size	2.53
2011	Arapahoe	Births	7721
2011	Arapahoe	Deaths	3426
2011	Arapahoe	Group Quarters Population (July)	4894
2011	Arapahoe	Household Population (July)	579809
2011	Arapahoe	Housing Vacancy Rate	4.53
2011	Arapahoe	July Population	584703
2011	Arapahoe	Natural Population Increase	4295
2011	Arapahoe	Net Building Permits	1102
2011	Arapahoe	Net Migration	5589
2011	Arapahoe	Population (U.S. Census Bureau)	584948
2011	Arapahoe	Total Households	229014
2011	Arapahoe	Total Housing Units	239870
2011	Arapahoe	Vacant Housing Units	10856
2011	Archuleta	Average Household Size	2.27
2011	Archuleta	Births	137
2011	Archuleta	Deaths	82
2011	Archuleta	Group Quarters Population (July)	129
2011	Archuleta	Household Population (July)	11909
2011	Archuleta	Housing Vacancy Rate	40.44
2011	Archuleta	July Population	12038
2011	Archuleta	Natural Population Increase	55
2011	Archuleta	Net Building Permits	36
2011	Archuleta	Net Migration	-77
2011	Archuleta	Population (U.S. Census Bureau)	12013
2011	Archuleta	Total Households	5247
2011	Archuleta	Total Housing Units	8810
2011	Archuleta	Vacant Housing Units	3563
2011	Baca	Average Household Size	2.2
2011	Baca	Births	41
2011	Baca	Deaths	73
2011	Baca	Group Quarters Population (July)	82
2011	Baca	Household Population (July)	3704
2011	Baca	Housing Vacancy Rate	24.71
2011	Baca	July Population	3786
2011	Baca	Natural Population Increase	-32
2011	Baca	Net Building Permits	-22
2011	Baca	Net Migration	23
2011	Baca	Population (U.S. Census Bureau)	3795
2011	Baca	Total Households	1685
2011	Baca	Total Housing Units	2238
2011	Baca	Vacant Housing Units	553
2011	Bent	Average Household Size	2.34
2011	Bent	Births	44
2011	Bent	Deaths	60
2011	Bent	Group Quarters Population (July)	2118
2011	Bent	Household Population (July)	4193
2011	Bent	Housing Vacancy Rate	20.2
2011	Bent	July Population	6311
2011	Bent	Natural Population Increase	-16
2011	Bent	Net Building Permits	-20
2011	Bent	Net Migration	-179
2011	Bent	Population (U.S. Census Bureau)	6250
2011	Bent	Total Households	1790
2011	Bent	Total Housing Units	2243
2011	Bent	Vacant Housing Units	453
2011	Boulder	Average Household Size	2.39
2011	Boulder	Births	2994
2011	Boulder	Deaths	1511
2011	Boulder	Group Quarters Population (July)	10044
2011	Boulder	Household Population (July)	290339
2011	Boulder	Housing Vacancy Rate	5.18
2011	Boulder	July Population	300383
2011	Boulder	Natural Population Increase	1483
2011	Boulder	Net Building Permits	334
2011	Boulder	Net Migration	3295
2011	Boulder	Population (U.S. Census Bureau)	299378
2011	Boulder	Total Households	121270
2011	Boulder	Total Housing Units	127891
2011	Boulder	Vacant Housing Units	6621
2011	Broomfield	Average Household Size	2.6
2011	Broomfield	Births	701
2011	Broomfield	Deaths	322
2011	Broomfield	Group Quarters Population (July)	282
2011	Broomfield	Household Population (July)	57023
2011	Broomfield	Housing Vacancy Rate	4.02
2011	Broomfield	July Population	57305
2011	Broomfield	Natural Population Increase	379
2011	Broomfield	Net Building Permits	188
2011	Broomfield	Net Migration	819
2011	Broomfield	Population (U.S. Census Bureau)	57352
