LG_ID,NAME,AUDIT_YEAR,CM_FUND_TYPE_ID,DESCRIPTION,REV_TOTAL,REV_CHARGES,REV_IMPACT_FEE,REV_INTGOVT,REV_TRANSFER_IN,REV_INTEREST,REV_OTHER,EXP_TOTAL,EXP_OPERATING,EXP_CAPITAL_OUTLAY,EXP_PRINCIPAL,EXP_INTEREST,EXP_TRANSFER_OUT,GO_DEBT,REVENUE_DEBT,OTHER_DEBT,ASSETS,LIABILITIES,DEPRECIATION
36001,"Aguilar, Town of",1975,2,Water,22611,22611,0,0,0,0,0,24917,20214,4703,0,0,0,0,0,0,0,0,0
36001,"Aguilar, Town of",1975,4,Gas,44825,41778,0,0,0,0,3047,27962,20616,0,7346,0,0,0,0,92000,0,0,0
36001,"Aguilar, Town of",1976,2,Water,30985,30450,0,0,0,0,535,18595,13137,0,3411,2047,0,0,0,45983,0,0,0
36001,"Aguilar, Town of",1976,3,Sewer,405000,0,0,405000,0,0,0,330558,0,330558,0,0,0,0,0,0,0,0,0
36001,"Aguilar, Town of",1976,4,Gas,56226,53349,0,0,0,0,2877,42926,26679,4232,5000,7015,0,0,0,87000,0,0,0
36001,"Aguilar, Town of",1977,2,Water,31708,30356,0,0,0,0,1352,24721,17212,4375,160,2974,0,0,0,45723,0,0,0
36001,"Aguilar, Town of",1977,4,Gas,59430,56820,0,0,0,0,2610,48742,37002,0,5000,6740,0,0,0,82000,0,0,0
36001,"Aguilar, Town of",1977,3,Sewer,420716,15216,500,405000,0,0,0,655368,1506,649758,0,4104,0,0,0,245000,0,0,0
36001,"Aguilar, Town of",1978,2,Water,33410,30063,0,0,0,0,3347,24615,22055,0,1124,1436,0,0,0,44599,0,0,0
36001,"Aguilar, Town of",1978,4,Gas,65807,62317,0,0,0,0,3490,51110,38794,0,6000,6316,0,0,0,76000,0,0,0
36001,"Aguilar, Town of",1978,3,Sewer,159818,23538,0,135000,0,0,1280,25651,8240,3061,2000,12350,0,0,0,243000,0,0,0
36001,"Aguilar, Town of",1981,2,Water,53580,47874,0,0,0,0,5706,25595,22533,0,1325,1737,0,0,0,39954,0,0,0
