LG_ID,NAME,AUDIT_YEAR,REV_TOTAL,REV_TOTAL_TAX,REV_PROPERTY_TAX,REV_SO_TAX,REV_SALES_USE_TAX,REV_OCCUPATION_TAX,REV_FRANCHISE_TAX,REV_OTHER_TAX,REV_UNCLASS_TAX,REV_LICENSES,REV_CHARGES,REV_FINES,REV_TRANSFER_IN,REV_INTGOVT,REV_HUT,REV_CIGARETTE_TAX,REV_MOTOR_VEH_FEE,REV_CTF,ALL_OTHER_INTGOVT,REV_MISC,REV_INTEREST,EXP_TOTAL,EXP_TOTAL_OPERATING,EXP_GEN_GOVT,EXP_JUDICIAL,EXP_TOTAL_PUBLIC_SAFETY,EXP_POLICE,EXP_FIRE,EXP_OTHER_PUBLIC_SAFETY,EXP_TOTAL_PUBLIC_WORKS,EXP_STREET,EXP_TRASH,EXP_OTHER_PUBLIC_WORKS,EXP_HEALTH,EXP_RECREATION,EXP_MISC,EXP_TRANSFER_OUT,EXP_CAPITAL_OUTLAY,EXP_DEBT_SERVICE_GEN,EXP_PRINCIPAL_GEN,EXP_INTEREST_GEN,GO_DEBT_GEN,REVENUE_DEBT_GEN,OTHER_DEBT_GEN,ASSETS,LIABILITIES,POPULATION,RURAL_VEH_REG,MUN_VEH_REG,RETAIL_SALES,ST_SALES_TAX_PAID,SALES_TAX_RATE,ROADS
36001,"Aguilar, Town of",1975,30557,8973,6362,587,0,0,2024,0,0,1341,0,287,0,9953,3996,0,2223,0,3734,10003,0,35662,29958,1040,0,1410,0,1410,0,22432,21232,1200,0,360,3965,751,1348,939,3417,3417,0,0,0,0,0,0,674,0,0,797000,18662,0,0
36001,"Aguilar, Town of",1976,25297,12209,9330,630,0,0,2249,0,0,961,0,310,0,8650,0,0,0,0,8650,3167,0,31967,29344,6639,0,1626,0,1626,0,17540,16181,1359,0,360,3179,0,0,2623,0,0,0,0,0,0,0,0,670,0,0,1289000,21791,0,0
36001,"Aguilar, Town of",1977,29200,13399,7845,3104,0,0,2450,0,0,1228,0,198,0,9001,0,0,0,0,9001,5374,0,27155,27155,5400,0,1928,0,1928,0,16697,15374,1323,0,360,2770,0,0,0,0,0,0,0,0,0,0,0,655,0,0,2053000,35169,0,0
36001,"Aguilar, Town of",1978,28452,14071,11228,831,0,0,2012,0,0,1141,22,115,0,9274,0,0,0,0,9274,3829,0,27230,27230,6923,0,2196,0,2196,0,15135,13803,1332,0,360,2616,0,0,0,0,0,0,0,0,0,0,0,633,0,0,3609000,51800,0,0
36001,"Aguilar, Town of",1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,616,0,0,3251000,38360,0,0
36001,"Aguilar, Town of",1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624,0,0,3240000,28737,0,0
36001,"Aguilar, Town of",1981,50395,14649,0,0,0,0,0,14649,0,4772,0,1048,0,19278,0,0,0,0,19278,10648,0,50350,50350,7984,0,25383,0,0,25383,6728,6728,0,0,1320,1521,7414,0,0,0,0,0,0,0,0,0,0,632,0,0,3575000,27267,0,0
36001,"Aguilar, Town of",1982,52703,17449,0,0,0,0,0,17449,0,6575,0,675,2000,11088,0,0,0,0,11088,14916,0,45551,45551,11541,0,25295,0,0,25295,6412,6412,0,0,410,1893,0,0,0,0,0,0,0,0,0,0,0,637,0,640,2994000,28745,0,8
36001,"Aguilar, Town of",1983,72056,14973,0,0,0,0,0,14973,0,8637,0,1130,15000,22770,0,0,0,0,22770,9546,0,55665,55551,22353,0,24378,0,0,24378,5419,5419,0,0,1320,2081,0,0,114,0,0,0,0,0,0,677062,74158,622,0,670,2752000,28986,0,8
36001,"Aguilar, Town of",1984,195276,14972,0,0,0,0,0,14972,0,10948,0,1249,0,158344,0,0,0,0,158344,9763,0,214437,69248,12762,0,27771,0,0,27771,26201,26201,0,0,1222,1292,0,0,145189,0,0,0,0,0,0,0,0,591,0,0,2876000,29595,0,0
36001,"Aguilar, Town of",1985,56649,19595,13659,1319,0,0,4617,0,0,1111,0,450,10000,21330,12175,809,3561,572,4213,4163,1524,52566,49864,10751,0,24990,0,0,24990,11889,11889,0,0,1320,914,0,0,2702,0,0,0,0,0,0,425521,65256,591,0,688,2778000,26869,0,8
36001,"Aguilar, Town of",1986,58377,20490,14188,1654,0,0,4648,0,0,787,0,148,10000,22335,12980,695,3354,638,4668,4617,1485,61517,61117,13051,0,25593,25593,0,0,20252,20252,0,0,1416,805,0,0,400,0,0,0,0,0,0,445093,57347,574,0,726,2387000,27042,0,8
36001,"Aguilar, Town of",1987,53778,21706,15242,1701,0,0,4763,0,0,897,0,375,5000,21825,14921,742,3440,2708,14,3975,1028,57371,57371,10581,0,27078,27078,0,0,12916,12916,0,0,1449,5347,0,0,0,0,0,0,0,0,0,466566,49615,575,0,396,4110000,23968,0,8
36001,"Aguilar, Town of",1988,53837,23603,16330,2334,0,0,4939,0,0,699,0,140,5000,17521,0,687,0,2579,14255,6874,1430,54934,54934,11522,0,21759,21759,0,0,12155,12155,0,0,2373,7125,0,0,0,0,0,0,0,0,0,499761,33481,558,0,321,2588000,24066,0,8
36001,"Aguilar, Town of",1989,124362,24220,16747,2180,0,0,5293,0,0,967,0,460,9000,84594,11341,551,5746,2124,64832,5121,1480,125675,53480,16372,0,23883,23883,0,0,8274,8274,0,0,2287,2664,0,0,72195,0,0,0,0,0,0,537919,31335,537,0,240,2838000,25800,0,8
36001,"Aguilar, Town of",1990,83889,25820,17713,2335,0,0,5772,0,0,1095,0,255,17097,32686,12256,2669,3789,2575,11397,6936,1791,69859,68782,13731,0,39660,39660,0,0,9613,9613,0,0,2448,3330,0,0,1077,0,0,0,0,0,0,601274,44480,520,0,200,2856000,24399,0,8
36001,"Aguilar, Town of",1991,211160,26776,18285,2273,0,0,6218,0,0,1126,0,460,20000,151033,11551,1520,3871,3181,130910,11765,3343,204096,68905,16913,0,32326,32326,0,0,13766,13766,0,0,2614,3286,0,0,135191,0,0,0,0,0,0,659826,58917,523,0,156,3588000,30195,0,8
36001,"Aguilar, Town of",1992,94713,28595,19946,2352,0,0,6297,0,0,1733,0,720,25000,32061,11325,1484,3834,3528,11890,6604,2312,89184,74863,16916,0,33093,33093,0,0,18890,18890,0,0,3684,2280,0,0,14321,0,0,0,0,0,0,764335,72408,510,0,131,2947000,28639,0,8
36001,"Aguilar, Town of",1993,90956,30800,21400,2500,0,0,6900,0,0,2876,0,660,27000,20185,11305,0,3874,3155,1851,9435,2148,90110,88545,21771,0,39553,39553,0,0,20060,20060,0,0,3269,3892,0,0,1565,0,0,0,0,0,0,671985,75505,574,0,128,3631000,35649,0,8
36001,"Aguilar, Town of",1994,98933,30709,20178,2331,0,0,8200,0,0,1418,14367,464,4500,22511,11403,600,4093,4205,2210,24964,4117,79261,79261,20548,0,35960,35960,0,0,13610,13610,0,0,5489,3654,0,0,0,0,0,0,0,0,0,637076,46693,606,0,93,4117000,36680,0,8
36001,"Aguilar, Town of",1995,73505,28885,17807,3478,0,0,7600,0,0,1372,6696,1026,0,21808,11626,600,4263,5319,0,13718,4213,73814,38500,15609,0,0,0,0,0,11278,11278,0,0,5112,6501,0,33074,2240,0,0,0,0,0,0,709903,80196,612,0,246,5156000,42506,0,8
36001,"Aguilar, Town of",1996,86282,26449,15871,2878,0,0,7700,0,0,2842,2278,562,20000,24196,12943,600,4408,5245,1000,9955,3798,85070,40212,17098,0,0,0,0,0,11297,11297,0,0,6280,5537,0,32487,12371,0,0,0,0,0,0,737536,93320,619,0,421,4543000,41965,0,8
36001,"Aguilar, Town of",1997,95991,30908,16558,6700,0,0,7650,0,0,2450,1195,792,14000,39533,16514,600,4468,6024,11927,7113,3442,72747,31129,13729,0,0,0,0,0,7866,7866,0,0,5463,4071,0,41618,0,0,0,0,0,0,0,772573,79416,624,0,501,4477000,41047,0,8
36001,"Aguilar, Town of",1998,116870,32696,0,0,0,0,0,32696,0,3832,0,831,20000,47196,20633,0,4622,5635,16306,12315,3795,103655,63655,14192,0,17530,0,0,17530,18105,18105,0,0,2753,11075,0,40000,0,0,0,0,0,0,0,824700,83649,624,0,565,4347000,40933,0,8
36001,"Aguilar, Town of",1999,109272,31198,19292,4230,0,0,7676,0,0,2182,0,505,25602,44093,23323,0,2882,5039,12849,5692,2483,142310,36710,17716,0,4260,0,3432,828,7406,7406,0,0,360,6968,0,37785,67815,0,0,0,0,0,0,882266,101932,631,0,550,4437000,34790,0,8
36001,"Aguilar, Town of",2000,108500,30072,18265,3831,0,0,7976,0,0,2816,0,89,8000,65189,24537,415,7577,5429,27231,2334,2069,88785,44927,27477,0,6424,0,4650,1774,9995,9995,0,0,426,605,0,35358,8500,0,0,0,0,0,0,958493,119728,593,0,550,4029000,34954,0,8
36001,"Aguilar, Town of",2001,85390,29569,17993,4110,0,0,7351,115,0,4342,0,958,0,48754,24148,374,5741,5400,13091,1767,1208,92045,51160,27936,0,8122,0,5225,2897,11043,11043,0,0,360,3699,0,40550,335,0,0,0,0,0,0,1008780,90415,600,0,563,3606000,35139,0,8
36001,"Aguilar, Town of",2002,131318,30346,19022,4500,0,0,6500,324,0,5239,0,534,38000,48024,23643,0,6047,0,18334,9175,336,147227,101868,28514,0,6650,0,5650,1000,11316,11316,0,0,424,54964,0,45359,0,0,0,0,0,0,0,1052441,93220,604,0,563,3421911,34954,0,8.17
36001,"Aguilar, Town of",2003,176857,35020,22055,4584,0,0,8381,0,0,2058,0,156,20000,114228,22469,321,6054,6051,79333,5395,1627,136479,39337,15613,0,1883,0,1883,0,10886,10886,0,0,360,10595,0,40787,56355,0,0,0,0,0,0,933545,73211,602,0,569,3651041,34497,0,7.78
