year,med_age,edu_yrs,perc_dem,pov_pop,stcou,cty
1989,,,,27267.0,8001.0,Adams
1990,30.7,13.0,,27743.9,8001.0,Adams
1991,30.77,13.44,,28220.8,8001.0,Adams
1992,30.84,13.879999999999999,44.0,28697.7,8001.0,Adams
1993,30.91,14.32,45.825,29174.6,8001.0,Adams
1994,30.98,14.76,47.65,29651.5,8001.0,Adams
1995,31.049999999999997,15.2,49.474999999999994,30128.4,8001.0,Adams
1996,31.119999999999997,15.639999999999999,51.3,30605.3,8001.0,Adams
1997,31.189999999999998,16.08,51.025,31082.2,8001.0,Adams
1998,31.259999999999998,16.52,50.75,31559.1,8001.0,Adams
1999,31.33,16.959999999999997,50.475,32036.0,8001.0,Adams
2000,31.4,17.4,50.2,34834.0,8001.0,Adams
2001,31.5,17.77142857142857,50.300000000000004,37632.0,8001.0,Adams
2002,31.599999999999998,18.142857142857142,50.400000000000006,40430.0,8001.0,Adams
2003,31.7,18.514285714285712,50.5,43228.0,8001.0,Adams
2004,31.799999999999997,18.885714285714286,50.6,46026.0,8001.0,Adams
2005,31.9,19.257142857142856,52.5,48824.0,8001.0,Adams
2006,32.0,19.628571428571426,54.400000000000006,51622.0,8001.0,Adams
2007,32.1,20.0,56.300000000000004,54420.0,8001.0,Adams
2008,32.199999999999996,20.37142857142857,58.2,57218.0,8001.0,Adams
2009,32.3,20.74285714285714,60.1,60016.0,8001.0,Adams
2010,32.4,21.11428571428571,62.0,62814.0,8001.0,Adams
1989,,,,3127.0,8003.0,Alamosa
1990,28.1,24.1,,3113.5,8003.0,Alamosa
1991,28.35,24.39,,3100.0,8003.0,Alamosa
1992,28.6,24.68,41.8,3086.5,8003.0,Alamosa
1993,28.85,24.970000000000002,43.125,3073.0,8003.0,Alamosa
1994,29.1,25.26,44.45,3059.5,8003.0,Alamosa
1995,29.35,25.55,45.775,3046.0,8003.0,Alamosa
1996,29.6,25.84,47.1,3032.5,8003.0,Alamosa
1997,29.85,26.13,46.175,3019.0,8003.0,Alamosa
1998,30.1,26.42,45.25,3005.5,8003.0,Alamosa
1999,30.35,26.71,44.325,2992.0,8003.0,Alamosa
2000,30.6,27.0,43.4,3107.25,8003.0,Alamosa
2001,30.830000000000002,26.942857142857143,44.55,3222.5,8003.0,Alamosa
2002,31.060000000000002,26.885714285714286,45.7,3337.75,8003.0,Alamosa
2003,31.29,26.82857142857143,46.85,3453.0,8003.0,Alamosa
2004,31.52,26.771428571428572,48.0,3568.25,8003.0,Alamosa
2005,31.75,26.714285714285715,50.0,3683.5,8003.0,Alamosa
2006,31.98,26.65714285714286,52.0,3798.75,8003.0,Alamosa
2007,32.21,26.6,54.0,3914.0,8003.0,Alamosa
2008,32.44,26.542857142857144,56.0,4029.25,8003.0,Alamosa
2009,32.67,26.485714285714288,58.0,4144.5,8003.0,Alamosa
2010,32.9,26.42857142857143,60.0,4259.75,8003.0,Alamosa
1989,,,,22973.0,8005.0,Arapahoe
1990,32.4,35.2,,23474.4,8005.0,Arapahoe
1991,32.61,35.38,,23975.8,8005.0,Arapahoe
1992,32.82,35.56,36.2,24477.2,8005.0,Arapahoe
1993,33.03,35.74,37.625,24978.6,8005.0,Arapahoe
1994,33.24,35.92,39.05,25480.0,8005.0,Arapahoe
1995,33.45,36.1,40.475,25981.4,8005.0,Arapahoe
1996,33.66,36.28,41.9,26482.8,8005.0,Arapahoe
1997,33.87,36.46,42.3,26984.2,8005.0,Arapahoe
1998,34.08,36.64,42.7,27485.6,8005.0,Arapahoe
1999,34.29,36.82,43.1,27987.0,8005.0,Arapahoe
2000,34.5,37.0,43.5,32036.25,8005.0,Arapahoe
2001,34.62,37.17142857142857,44.5,36085.5,8005.0,Arapahoe
2002,34.74,37.34285714285714,45.5,40134.75,8005.0,Arapahoe
2003,34.86,37.51428571428571,46.5,44184.0,8005.0,Arapahoe
2004,34.980000000000004,37.68571428571429,47.5,48233.25,8005.0,Arapahoe
2005,35.1,37.85714285714286,49.55,52282.5,8005.0,Arapahoe
