,cty,resid,total,year,non_resid,res_rate,nonres_rate,res_val,nonres_val
195,Adams,705269720.0,1632609350.0,1993.0,927339630.0,0.1286,0.29,5484212441.679627,3197722862.068966
196,Adams,742865190.0,1684395240.0,1994.0,941530050.0,0.1286,0.29,5776556687.4028,3246655344.8275867
197,Adams,813385250.0,1814600930.0,1995.0,1001215680.0,0.1036,0.29,7851208976.833977,3452467862.068966
198,Adams,853089120.0,1898365960.0,1996.0,1045276840.0,0.1036,0.29,8234450965.250965,3604402896.5517244
199,Adams,955203880.0,2094081960.0,1997.0,1138878080.0,0.0974,0.29,9807021355.23614,3927165793.1034484
320,Adams,1003073550.0,2204397180.0,1998.0,1201323630.0,0.0974,0.29,10298496406.570843,4142495275.862069
384,Adams,1181599650.0,2552946760.0,1999.0,1371347110.0,0.0974,0.29,12131413244.353182,4728783137.931035
448,Adams,1257611690.0,2706528490.0,2000.0,1448916800.0,0.0974,0.29,12911824332.64887,4996264827.586207
512,Adams,1568125310.0,3301114460.0,2001.0,1732989150.0,0.0915,0.29,17137981530.054646,5975824655.172414
576,Adams,1581702560.0,3343110670.0,2002.0,1761408110.0,0.0915,0.29,17286366775.956284,6073821068.965518
640,Adams,1730702090.0,3609794180.0,2003.0,1879092090.0,0.0796,0.29,21742488567.839195,6479627896.551724
704,Adams,1824215350.0,3765774100.0,2004.0,1941558750.0,0.0796,0.29,22917278266.331657,6695030172.413794
768,Adams,2005601680.0,4118305220.0,2005.0,2112703540.0,0.0796,0.29,25196001005.025124,7285184620.689655
832,Adams,2090024670.0,4246997040.0,2006.0,2156972370.0,0.0796,0.29,26256591331.65829,7437835758.62069
896,Adams,2136421180.0,4524060000.0,2007.0,2387638820.0,0.0796,0.29,26839462060.301506,8233237310.344829
960,Adams,2177583150.0,4659254010.0,2008.0,2481670860.0,0.0796,0.29,27356572236.180904,8557485724.137932
1024,Adams,2005689060.0,4598155740.0,2009.0,2592466680.0,0.0796,0.29,25197098743.71859,8939540275.86207
1088,Adams,2015295810.0,4601619680.0,2010.0,2586323870.0,0.0796,0.29,25317786557.788944,8918358172.413794
1152,Adams,1966947450.0,4568563790.0,2011.0,2601616340.0,0.0796,0.29,24710395100.50251,8971090827.586208
1216,Adams,1983416840.0,4622808830.0,2012.0,2639391990.0,0.0796,0.29,24917296984.92462,9101351689.655172
35,Alamosa,20978680.0,64233640.0,1993.0,43254960.0,0.1286,0.29,163131259.72006223,149155034.48275864
36,Alamosa,21551860.0,68170650.0,1994.0,46618790.0,0.1286,0.29,167588335.92534992,160754448.27586207
37,Alamosa,21090890.0,68533240.0,1995.0,47442350.0,0.1036,0.29,203580019.30501932,163594310.3448276
38,Alamosa,22275310.0,70148290.0,1996.0,47872980.0,0.1036,0.29,215012644.7876448,165079241.37931037
39,Alamosa,25394010.0,78460170.0,1997.0,53066160.0,0.0974,0.29,260718788.5010267,182986758.62068966
321,Alamosa,26214120.0,81288350.0,1998.0,55074230.0,0.0974,0.29,269138809.0349076,189911137.9310345
385,Alamosa,29715900.0,88056760.0,1999.0,58340860.0,0.0974,0.29,305091375.77002054,201175379.31034485
449,Alamosa,30653970.0,92072460.0,2000.0,61418490.0,0.0974,0.29,314722484.59958935,211787896.55172417
513,Alamosa,33900440.0,99209940.0,2001.0,65309500.0,0.0915,0.29,370496612.0218579,225205172.41379312
577,Alamosa,34958800.0,105082050.0,2002.0,70123250.0,0.0915,0.29,382063387.9781421,241804310.3448276
641,Alamosa,32428230.0,105710210.0,2003.0,73281980.0,0.0796,0.29,407389824.12060297,252696482.7586207
705,Alamosa,33207320.0,105759120.0,2004.0,72551800.0,0.0796,0.29,417177386.93467337,250178620.68965518
769,Alamosa,35231910.0,113201810.0,2005.0,77969900.0,0.0796,0.29,442611934.6733668,268861724.13793105
833,Alamosa,36344730.0,115502520.0,2006.0,79157790.0,0.0796,0.29,456592085.42713565,272957896.55172414
897,Alamosa,43989700.0,128487250.0,2007.0,84497550.0,0.0796,0.29,552634422.1105528,291370862.06896555
961,Alamosa,45135218.0,131937947.0,2008.0,86802729.0,0.0796,0.29,567025351.758794,299319755.1724138
1025,Alamosa,49620684.0,144285542.0,2009.0,94664858.0,0.0796,0.29,623375427.1356784,326430544.82758623
1089,Alamosa,49791969.0,142978579.0,2010.0,93186610.0,0.0796,0.29,625527248.7437185,321333137.9310345
1153,Alamosa,50715636.0,147822295.0,2011.0,97106659.0,0.0796,0.29,637131105.5276382,334850548.2758621
1217,Alamosa,51319469.0,150635429.0,2012.0,99315960.0,0.0796,0.29,644716947.2361809,342468827.5862069
150,Arapahoe,1716659900.0,3132892890.0,1993.0,1416232990.0,0.1286,0.29,13348832814.930016,4883562034.4827585
151,Arapahoe,1775102720.0,3172018980.0,1994.0,1396916260.0,0.1286,0.29,13803287091.757387,4816952620.689655
152,Arapahoe,1909049660.0,3431555260.0,1995.0,1522505600.0,0.1036,0.29,18427120270.27027,5250019310.344828
153,Arapahoe,1959244590.0,3572313810.0,1996.0,1613069220.0,0.1036,0.29,18911627316.602318,5562307655.172414
154,Arapahoe,2111998320.0,4154999890.0,1997.0,2043001570.0,0.0974,0.29,21683760985.62628,7044833000.000001
322,Arapahoe,2171015020.0,4299477620.0,1998.0,2128462600.0,0.0974,0.29,22289681930.184803,7339526206.896552
386,Arapahoe,2498090430.0,5339974370.0,1999.0,2841883940.0,0.0974,0.29,25647745687.88501,9799599793.103449
450,Arapahoe,2592694970.0,5563291240.0,2000.0,2970596270.0,0.0974,0.29,26619044866.529774,10243435413.793104
514,Arapahoe,3266624560.0,6603331570.0,2001.0,3336707010.0,0.0915,0.29,35700814863.38798,11505886241.37931
578,Arapahoe,3391718970.0,6710546210.0,2002.0,3318827240.0,0.0915,0.29,37067966885.2459,11444231862.068966
642,Arapahoe,3442883070.0,6586625570.0,2003.0,3143742500.0,0.0796,0.29,43252299874.37186,10840491379.310345
706,Arapahoe,3525994730.0,6655682660.0,2004.0,3129687930.0,0.0796,0.29,44296416206.03015,10792027344.827587
770,Arapahoe,3694072400.0,6792660190.0,2005.0,3098587790.0,0.0796,0.29,46407944723.61809,10684785482.758621
834,Arapahoe,3793975220.0,6921051070.0,2006.0,3127075850.0,0.0796,0.29,47663005276.381905,10783020172.413794
898,Arapahoe,4150158740.0,7686129630.0,2007.0,3535970890.0,0.0796,0.29,52137672613.06532,12193003068.965519
962,Arapahoe,4233898200.0,7798433580.0,2008.0,3564535380.0,0.0796,0.29,53189675879.39698,12291501310.344828
1026,Arapahoe,3955280450.0,7959760080.0,2009.0,4004479630.0,0.0796,0.29,49689452889.447235,13808550448.275864
1090,Arapahoe,3988026170.0,7963447430.0,2010.0,3975421260.0,0.0796,0.29,50100831281.407036,13708349172.413794
1154,Arapahoe,3774652610.0,7428001820.0,2011.0,3653349210.0,0.0796,0.29,47420258919.597984,12597755896.551725
1218,Arapahoe,3794965820.0,7461738443.0,2012.0,3666772623.0,0.0796,0.29,47675450000.0,12644043527.586208
125,Archuleta,30597430.0,76118050.0,1993.0,45520620.0,0.1286,0.29,237927138.41368586,156967655.1724138
126,Archuleta,32836390.0,81208910.0,1994.0,48372520.0,0.1286,0.29,255337402.79937792,166801793.1034483
127,Archuleta,33917800.0,86432200.0,1995.0,52514400.0,0.1036,0.29,327391891.8918919,181084137.9310345
128,Archuleta,37699410.0,89800830.0,1996.0,52101420.0,0.1036,0.29,363893918.9189189,179660068.96551725
129,Archuleta,45689230.0,114509650.0,1997.0,68820420.0,0.0974,0.29,469088603.69609857,237311793.1034483
323,Archuleta,49297820.0,119544390.0,1998.0,70246570.0,0.0974,0.29,506137782.3408624,242229551.72413796
387,Archuleta,64631010.0,149999050.0,1999.0,85368040.0,0.0974,0.29,663562731.0061601,294372551.72413796
451,Archuleta,70076890.0,158022040.0,2000.0,87945150.0,0.0974,0.29,719475256.6735113,303259137.9310345
515,Archuleta,75223560.0,174584450.0,2001.0,99360890.0,0.0915,0.29,822115409.8360656,342623758.6206897
579,Archuleta,82814290.0,181921540.0,2002.0,99107250.0,0.0915,0.29,905074207.6502732,341749137.9310345
643,Archuleta,105798510.0,215807660.0,2003.0,110009150.0,0.0796,0.29,1329127010.0502512,379341896.55172414
707,Archuleta,88496590.0,200080180.0,2004.0,111583590.0,0.0796,0.29,1111766206.0301507,384771000.0
771,Archuleta,98480117.0,235870463.0,2005.0,137390346.0,0.0796,0.29,1237187399.4974873,473759813.79310346
835,Archuleta,104152898.0,247311199.0,2006.0,143158301.0,0.0796,0.29,1308453492.4623115,493649313.79310346
899,Archuleta,147711828.0,355944315.0,2007.0,208232487.0,0.0796,0.29,1855676231.155779,718043058.6206897
963,Archuleta,154783786.0,362558333.0,2008.0,207774547.0,0.0796,0.29,1944519924.6231155,716463955.1724138
1027,Archuleta,185556060.0,423737130.0,2009.0,238181070.0,0.0796,0.29,2331106281.407035,821314034.4827586
