DATE,USACPIBLS
1975-01-01,53.8
1976-01-01,56.9
1977-01-01,60.6
1978-01-01,65.2
1979-01-01,72.6
1980-01-01,82.4
1981-01-01,90.9
1982-01-01,96.5
1983-01-01,99.6
1984-01-01,103.9
1985-01-01,107.6
1986-01-01,109.6
1987-01-01,113.6
1988-01-01,118.3
1989-01-01,124.0
1990-01-01,130.7
1991-01-01,136.2
1992-01-01,140.3
1993-01-01,144.5
1994-01-01,148.2
1995-01-01,152.4
1996-01-01,156.9
1997-01-01,160.5
1998-01-01,163.0
1999-01-01,166.6
2000-01-01,172.2
2001-01-01,177.1
2002-01-01,179.9
2003-01-01,184.0
2004-01-01,188.9
2005-01-01,195.3
2006-01-01,201.6
2007-01-01,207.3
2008-01-01,215.3
2009-01-01,214.5
