,ap,emp,est,fipscty,fipstate,ind_code,naics,qp1,s_NAICS,s_SIC,s_n02,s_n07,sic,year
78702,1570829,81295,5608,1,8,0000,,389973,,00,00,00,----,1986
78703,5361,338,69,1,8,0700,,1041,,07,11,11,07--,1986
78713,18958,852,58,1,8,1000,,5719,,10,21,21,10--,1986
78731,163286,8056,642,1,8,1500,,38660,,15,23,23,15--,1986
78761,386439,14487,363,1,8,1900,,94280,,20,33,33,19--,1986
78983,250518,9274,262,1,8,4000,,62712,,40,48,48,40--,1986
79025,212647,9342,609,1,8,5000,,55353,,50,42,42,50--,1986
79098,237203,20337,1398,1,8,5200,,57131,,52,44,44,52--,1986
79175,86535,4270,384,1,8,6000,,22297,,60,52,52,60--,1986
79201,0,0,2,1,8,6600,,0,,,,,6600,1986
79211,194178,13458,1459,1,8,7000,,50743,,70,81,81,70--,1986
79339,15704,881,364,1,8,9900,,2036,,90,92,92,99--,1986
79340,40050,3358,421,3,8,0000,,9016,,00,00,00,----,1986
79341,0,0,3,3,8,0700,,0,,07,11,11,07--,1986
79344,0,0,1,3,8,1000,,0,,10,21,21,10--,1986
79348,5295,251,37,3,8,1500,,948,,15,23,23,15--,1986
79366,984,60,8,3,8,1900,,204,,20,33,33,19--,1986
79381,3569,128,19,3,8,4000,,815,,40,48,48,40--,1986
79400,4029,376,33,3,8,5000,,904,,50,42,42,50--,1986
79431,11372,1319,130,3,8,5200,,2635,,52,44,44,52--,1986
79481,2604,175,25,3,8,6000,,670,,60,52,52,60--,1986
79498,11062,945,132,3,8,7000,,2624,,70,81,81,70--,1986
79569,880,87,33,3,8,9900,,173,,90,92,92,99--,1986
79570,2998847,147355,11264,5,8,0000,,744401,,00,00,00,----,1986
79571,19910,1176,164,5,8,0700,,3924,,07,11,11,07--,1986
79578,93154,2917,159,5,8,1000,,26711,,10,21,21,10--,1986
79600,265021,11507,940,5,8,1500,,65509,,15,23,23,15--,1986
79631,422428,15830,485,5,8,1900,,104819,,20,33,33,19--,1986
79859,202666,7489,320,5,8,4000,,51103,,40,48,48,40--,1986
79902,310343,10894,865,5,8,5000,,81327,,50,42,42,50--,1986
79976,422712,35590,2423,5,8,5200,,99480,,52,44,44,52--,1986
80054,447017,18158,1413,5,8,6000,,111864,,60,52,52,60--,1986
80086,1033,46,9,5,8,6600,,280,,,,,6600,1986
80098,783926,42275,3752,5,8,7000,,195360,,70,81,81,70--,1986
80244,31670,1519,743,5,8,9900,,4305,,90,92,92,99--,1986
80245,13287,1201,219,7,8,0000,,3343,,00,00,00,----,1986
80246,0,0,2,7,8,0700,,0,,07,11,11,07--,1986
80250,4977,322,29,7,8,1500,,1236,,15,23,23,15--,1986
80266,596,45,9,7,8,1900,,130,,20,33,33,19--,1986
80285,0,0,4,7,8,4000,,0,,40,48,48,40--,1986
80296,213,14,6,7,8,5000,,60,,50,42,42,50--,1986
80311,2926,362,60,7,8,5200,,669,,52,44,44,52--,1986
80345,1215,86,24,7,8,6000,,330,,60,52,52,60--,1986
80360,2343,277,54,7,8,7000,,684,,70,81,81,70--,1986
80407,436,44,31,7,8,9900,,93,,90,92,92,99--,1986
80408,3963,406,119,9,8,0000,,1021,,00,00,00,----,1986
80409,0,0,3,9,8,0700,,0,,07,11,11,07--,1986
80414,0,0,2,9,8,1000,,0,,10,21,21,10--,1986
80418,196,17,8,9,8,1500,,49,,15,23,23,15--,1986
80430,0,0,1,9,8,1900,,0,,20,33,33,19--,1986
80433,389,22,9,9,8,4000,,99,,40,48,48,40--,1986
80445,1105,69,13,9,8,5000,,243,,50,42,42,50--,1986
80458,1201,167,41,9,8,5200,,342,,52,44,44,52--,1986
80484,538,38,11,9,8,6000,,148,,60,52,52,60--,1986
80494,0,0,1,9,8,6600,,0,,,,,6600,1986
80496,321,62,24,9,8,7000,,79,,70,81,81,70--,1986
80531,74,11,7,9,8,9900,,10,,90,92,92,99--,1986
80532,4753,479,93,11,8,0000,,1121,,00,00,00,----,1986
80533,0,0,1,11,8,0700,,0,,07,11,11,07--,1986
80536,275,22,8,11,8,1500,,69,,15,23,23,15--,1986
80545,992,85,6,11,8,1900,,218,,20,33,33,19--,1986
80556,951,68,7,11,8,4000,,144,,40,48,48,40--,1986
80570,227,17,3,11,8,5000,,51,,50,42,42,50--,1986
80579,1138,148,33,11,8,5200,,318,,52,44,44,52--,1986
80612,597,39,6,11,8,6000,,140,,60,52,52,60--,1986
80621,474,73,21,11,8,7000,,108,,70,81,81,70--,1986
80645,0,0,8,11,8,9900,,0,,90,92,92,99--,1986
80646,1797751,89964,6635,13,8,0000,,437674,,00,00,00,----,1986
80647,6827,429,90,13,8,0700,,1419,,07,11,11,07--,1986
80652,5389,328,43,13,8,1000,,1761,,10,21,21,10--,1986
80680,83960,4278,642,13,8,1500,,18882,,15,23,23,15--,1986
80708,878907,30460,482,13,8,1900,,215083,,20,33,33,19--,1986
80945,42154,1996,173,13,8,4000,,10301,,40,48,48,40--,1986
80982,99029,3735,338,13,8,5000,,23527,,50,42,42,50--,1986
81054,210011,20954,1519,13,8,5200,,48569,,52,44,44,52--,1986
81129,93237,4724,574,13,8,6000,,23024,,60,52,52,60--,1986
81157,1215,66,7,13,8,6600,,277,,,,,6600,1986
81167,364436,21991,2284,13,8,7000,,92194,,70,81,81,70--,1986
81314,13801,1069,490,13,8,9900,,2912,,90,92,92,99--,1986
81315,32403,2845,450,15,8,0000,,7324,,00,00,00,----,1986
81316,0,0,3,15,8,0700,,0,,07,11,11,07--,1986
81320,0,0,2,15,8,1000,,0,,10,21,21,10--,1986
81326,7975,275,47,15,8,1500,,1362,,15,23,23,15--,1986
81341,1305,91,14,15,8,1900,,241,,20,33,33,19--,1986
81370,1773,99,17,15,8,4000,,426,,40,48,48,40--,1986
81388,1054,106,16,15,8,5000,,275,,50,42,42,50--,1986
81407,8909,948,141,15,8,5200,,2032,,52,44,44,52--,1986
81461,2715,184,31,15,8,6000,,636,,60,52,52,60--,1986
81476,7495,1038,139,15,8,7000,,2027,,70,81,81,70--,1986
81541,648,71,40,15,8,9900,,201,,90,92,92,99--,1986
81542,4105,352,58,17,8,0000,,997,,00,00,00,----,1986
81543,0,0,1,17,8,0700,,0,,07,11,11,07--,1986
81546,0,0,2,17,8,1000,,0,,10,21,21,10--,1986
81550,286,27,5,17,8,1500,,86,,15,23,23,15--,1986
81558,0,0,1,17,8,1900,,0,,20,33,33,19--,1986
81561,0,0,3,17,8,4000,,0,,40,48,48,40--,1986
81568,1057,48,4,17,8,5000,,239,,50,42,42,50--,1986
81577,385,75,16,17,8,5200,,112,,52,44,44,52--,1986
81594,874,64,4,17,8,6000,,195,,60,52,52,60--,1986
81601,820,87,17,17,8,7000,,186,,70,81,81,70--,1986
81626,107,18,5,17,8,9900,,24,,90,92,92,99--,1986
81627,40349,2122,180,19,8,0000,,10967,,00,00,00,----,1986
81628,0,0,3,19,8,0700,,0,,07,11,11,07--,1986
81632,0,0,1,19,8,1000,,0,,10,21,21,10--,1986
81635,256,17,11,19,8,1500,,48,,15,23,23,15--,1986
81645,526,31,6,19,8,1900,,169,,20,33,33,19--,1986
81661,581,30,9,19,8,4000,,130,,40,48,48,40--,1986
81673,929,43,8,19,8,5000,,274,,50,42,42,50--,1986
81688,0,0,66,19,8,5200,,0,,52,44,44,52--,1986
81715,639,44,10,19,8,6000,,158,,60,52,52,60--,1986
